model_type,checkpoint_name,layer_name,module_name,top_k,threshold,num_intruders
lora,after_ag_news,layer_0,down_proj,20,0.5,0
lora,after_ag_news,layer_0,q_proj,20,0.5,1
lora,after_ag_news,layer_0,up_proj,20,0.5,0
lora,after_ag_news,layer_0,v_proj,20,0.5,3
lora,after_ag_news,layer_8,down_proj,20,0.5,0
lora,after_ag_news,layer_8,q_proj,20,0.5,0
lora,after_ag_news,layer_8,up_proj,20,0.5,0
lora,after_ag_news,layer_8,v_proj,20,0.5,1
lora,after_ag_news,layer_15,down_proj,20,0.5,0
lora,after_ag_news,layer_15,q_proj,20,0.5,0
lora,after_ag_news,layer_15,up_proj,20,0.5,0
lora,after_ag_news,layer_15,v_proj,20,0.5,0
