model_type,checkpoint_name,module_name,vector_index,mean_cosine_similarity,num_layers
lora,lora_after_dbpedia,down_proj,1,0.9999999403953552,3
lora,lora_after_dbpedia,down_proj,2,0.9999999602635702,3
lora,lora_after_dbpedia,down_proj,3,0.9999996026357015,3
lora,lora_after_dbpedia,down_proj,4,0.9999998609224955,3
lora,lora_after_dbpedia,down_proj,5,0.9999996821085612,3
lora,lora_after_dbpedia,down_proj,6,0.9999999006589254,3
lora,lora_after_dbpedia,down_proj,7,0.9999997615814209,3
lora,lora_after_dbpedia,down_proj,8,0.9999997417132059,3
lora,lora_after_dbpedia,down_proj,9,1.0,3
lora,lora_after_dbpedia,down_proj,10,0.9999999602635702,3
lora,lora_after_dbpedia,down_proj,11,0.9999999205271403,3
lora,lora_after_dbpedia,down_proj,12,1.0,3
lora,lora_after_dbpedia,down_proj,13,0.9999999602635702,3
lora,lora_after_dbpedia,down_proj,14,0.9999998609224955,3
lora,lora_after_dbpedia,down_proj,15,0.9999999205271403,3
lora,lora_after_dbpedia,down_proj,16,0.9999999006589254,3
lora,lora_after_dbpedia,down_proj,17,1.0,3
lora,lora_after_dbpedia,down_proj,18,0.9999999602635702,3
lora,lora_after_dbpedia,down_proj,19,0.9999998807907104,3
lora,lora_after_dbpedia,down_proj,20,0.9999996821085612,3
lora,lora_after_dbpedia,q_proj,1,0.9990696509679159,3
lora,lora_after_dbpedia,q_proj,2,0.9821965297063192,3
lora,lora_after_dbpedia,q_proj,3,0.9770631591478983,3
lora,lora_after_dbpedia,q_proj,4,0.9385155439376831,3
lora,lora_after_dbpedia,q_proj,5,0.9332364400227865,3
lora,lora_after_dbpedia,q_proj,6,0.8429171442985535,3
lora,lora_after_dbpedia,q_proj,7,0.43199457476536435,3
lora,lora_after_dbpedia,q_proj,8,0.4489853208263715,3
lora,lora_after_dbpedia,q_proj,9,0.3829572619870305,3
lora,lora_after_dbpedia,q_proj,10,0.32657364134987193,3
lora,lora_after_dbpedia,q_proj,11,0.3522661626338959,3
lora,lora_after_dbpedia,q_proj,12,0.36719733973344165,3
lora,lora_after_dbpedia,q_proj,13,0.3607543259859085,3
lora,lora_after_dbpedia,q_proj,14,0.0849182444314162,3
lora,lora_after_dbpedia,q_proj,15,0.06929478794336319,3
lora,lora_after_dbpedia,q_proj,16,0.20138492435216904,3
lora,lora_after_dbpedia,q_proj,17,0.3435152505214016,3
lora,lora_after_dbpedia,q_proj,18,0.2724833091100057,3
lora,lora_after_dbpedia,q_proj,19,0.20759746183951697,3
lora,lora_after_dbpedia,q_proj,20,0.3317336129645507,3
lora,lora_after_dbpedia,up_proj,1,1.0,3
lora,lora_after_dbpedia,up_proj,2,0.9999999602635702,3
lora,lora_after_dbpedia,up_proj,3,1.0,3
lora,lora_after_dbpedia,up_proj,4,0.9999998609224955,3
lora,lora_after_dbpedia,up_proj,5,1.0,3
lora,lora_after_dbpedia,up_proj,6,0.9999998211860657,3
lora,lora_after_dbpedia,up_proj,7,1.0,3
lora,lora_after_dbpedia,up_proj,8,0.9999999205271403,3
lora,lora_after_dbpedia,up_proj,9,1.0,3
lora,lora_after_dbpedia,up_proj,10,1.0,3
lora,lora_after_dbpedia,up_proj,11,1.0,3
lora,lora_after_dbpedia,up_proj,12,1.0,3
lora,lora_after_dbpedia,up_proj,13,0.999999980131785,3
lora,lora_after_dbpedia,up_proj,14,0.9999999403953552,3
lora,lora_after_dbpedia,up_proj,15,1.0,3
lora,lora_after_dbpedia,up_proj,16,0.9999999602635702,3
lora,lora_after_dbpedia,up_proj,17,0.9999998013178507,3
lora,lora_after_dbpedia,up_proj,18,0.9999999006589254,3
lora,lora_after_dbpedia,up_proj,19,0.9999999403953552,3
lora,lora_after_dbpedia,up_proj,20,1.0,3
lora,lora_after_dbpedia,v_proj,1,0.11997887336959441,3
lora,lora_after_dbpedia,v_proj,2,0.17278332387407622,3
lora,lora_after_dbpedia,v_proj,3,0.4346445674697558,3
lora,lora_after_dbpedia,v_proj,4,0.15829594930013022,3
lora,lora_after_dbpedia,v_proj,5,0.17146751657128334,3
lora,lora_after_dbpedia,v_proj,6,0.4688423623641332,3
lora,lora_after_dbpedia,v_proj,7,0.3413793129536013,3
lora,lora_after_dbpedia,v_proj,8,0.3221404229601224,3
lora,lora_after_dbpedia,v_proj,9,0.24724309394756952,3
lora,lora_after_dbpedia,v_proj,10,0.10633867606520653,3
lora,lora_after_dbpedia,v_proj,11,0.10692239304383595,3
lora,lora_after_dbpedia,v_proj,12,0.0307103864227732,3
lora,lora_after_dbpedia,v_proj,13,0.2661909516900778,3
lora,lora_after_dbpedia,v_proj,14,0.2729080766439438,3
lora,lora_after_dbpedia,v_proj,15,0.0505258875588576,3
lora,lora_after_dbpedia,v_proj,16,0.35536237557729083,3
lora,lora_after_dbpedia,v_proj,17,0.24036387105782828,3
lora,lora_after_dbpedia,v_proj,18,0.12377411872148514,3
lora,lora_after_dbpedia,v_proj,19,0.1309771000718077,3
lora,lora_after_dbpedia,v_proj,20,0.06153119324396054,3
