method,stage,eval_task,accuracy,loss
full,mnli,mnli,0.806,0.5168643950223922
full,qqp,mnli,0.768,0.5691859476566314
full,qqp,qqp,0.796,0.4940084971189499
full,sst2,mnli,0.708,0.7145176668167115
full,sst2,qqp,0.776,0.4892103569507599
full,sst2,sst2,0.93,0.19323699606209993
full,siqa,mnli,0.678,0.7898696384429932
full,siqa,qqp,0.754,0.5213050473928451
full,siqa,sst2,0.926,0.18906741486489773
full,siqa,siqa,0.63,1.001184948682785
full,winogrande,mnli,0.662,0.8093056221008301
full,winogrande,qqp,0.746,0.5110424025058746
full,winogrande,sst2,0.926,0.18895711710304022
full,winogrande,siqa,0.594,0.9933008193969727
full,winogrande,winogrande,0.564,0.7602255573272705
full,fever,mnli,0.666,0.831500232219696
full,fever,qqp,0.762,0.5084486978054047
full,fever,sst2,0.936,0.18397367932647465
full,fever,siqa,0.602,0.9792265529632569
full,fever,winogrande,0.544,0.7711502475738525
full,fever,fever,0.642,1.0674458379745484
