method,stage,adapter_eval_mode,layer,module,top_k,epsilon,num_intruders,mean_max_similarity
full,fever,n/a,0,q_proj,50,0.5,0,0.9999805688858032
full,fever,n/a,0,v_proj,50,0.5,0,0.9911220669746399
full,fever,n/a,0,up_proj,50,0.5,0,0.999694287776947
full,fever,n/a,0,down_proj,50,0.5,0,0.9970558881759644
full,fever,n/a,8,q_proj,50,0.5,0,0.9999778866767883
full,fever,n/a,8,v_proj,50,0.5,0,0.9934355020523071
full,fever,n/a,8,up_proj,50,0.5,0,0.9991757273674011
full,fever,n/a,8,down_proj,50,0.5,0,0.9995108246803284
full,fever,n/a,15,q_proj,50,0.5,0,0.9999856352806091
full,fever,n/a,15,v_proj,50,0.5,0,0.9999135732650757
full,fever,n/a,15,up_proj,50,0.5,0,0.9999434947967529
full,fever,n/a,15,down_proj,50,0.5,0,0.9991300106048584
full,mnli,n/a,0,q_proj,50,0.5,0,0.9999966621398926
full,mnli,n/a,0,v_proj,50,0.5,0,0.9984844923019409
full,mnli,n/a,0,up_proj,50,0.5,0,0.9999616742134094
full,mnli,n/a,0,down_proj,50,0.5,0,0.9997062087059021
full,mnli,n/a,8,q_proj,50,0.5,0,0.9999939203262329
full,mnli,n/a,8,v_proj,50,0.5,0,0.9983533620834351
full,mnli,n/a,8,up_proj,50,0.5,0,0.9951215982437134
full,mnli,n/a,8,down_proj,50,0.5,0,0.9999535083770752
full,mnli,n/a,15,q_proj,50,0.5,0,0.9999986290931702
full,mnli,n/a,15,v_proj,50,0.5,0,0.9999809265136719
full,mnli,n/a,15,up_proj,50,0.5,0,0.9999954700469971
full,mnli,n/a,15,down_proj,50,0.5,0,0.999825656414032
full,qqp,n/a,0,q_proj,50,0.5,0,0.9999918937683105
full,qqp,n/a,0,v_proj,50,0.5,0,0.9980312585830688
full,qqp,n/a,0,up_proj,50,0.5,0,0.9998748898506165
full,qqp,n/a,0,down_proj,50,0.5,0,0.9980812668800354
