method,stage,adapter_eval_mode,layer,module,vector_index,max_similarity
full,fever,n/a,0,q_proj,1,1.0000005960464478
full,fever,n/a,0,q_proj,2,0.9999993443489075
full,fever,n/a,0,q_proj,3,1.0000003576278687
full,fever,n/a,0,q_proj,4,0.9999995231628418
full,fever,n/a,0,q_proj,5,0.999999463558197
full,fever,n/a,0,q_proj,6,0.9999998211860657
full,fever,n/a,0,q_proj,7,0.9999992251396179
full,fever,n/a,0,q_proj,8,0.9999994039535522
full,fever,n/a,0,q_proj,9,0.9999989867210388
full,fever,n/a,0,q_proj,10,0.9999993443489075
full,fever,n/a,0,q_proj,11,0.9999994039535522
full,fever,n/a,0,q_proj,12,0.9999988079071045
full,fever,n/a,0,q_proj,13,0.9999985694885254
full,fever,n/a,0,q_proj,14,0.9999984502792358
full,fever,n/a,0,q_proj,15,0.9999325275421143
full,fever,n/a,0,q_proj,16,0.9999327063560486
full,fever,n/a,0,q_proj,17,0.999993085861206
full,fever,n/a,0,q_proj,18,0.999989926815033
full,fever,n/a,0,q_proj,19,0.9999940991401672
full,fever,n/a,0,q_proj,20,0.9999984502792358
full,fever,n/a,0,q_proj,21,0.9999898672103882
full,fever,n/a,0,q_proj,22,0.9999899864196777
full,fever,n/a,0,q_proj,23,0.9999969601631165
full,fever,n/a,0,q_proj,24,0.9999967813491821
full,fever,n/a,0,q_proj,25,0.9999964833259583
full,fever,n/a,0,q_proj,26,0.9999979734420776
full,fever,n/a,0,q_proj,27,0.9999876618385315
full,fever,n/a,0,q_proj,28,0.9999870657920837
full,fever,n/a,0,q_proj,29,0.9999950528144836
full,fever,n/a,0,q_proj,30,0.9999931454658508
full,fever,n/a,0,q_proj,31,0.9999929666519165
full,fever,n/a,0,q_proj,32,0.9999961256980896
full,fever,n/a,0,q_proj,33,0.9999944567680359
full,fever,n/a,0,q_proj,34,0.9999949932098389
full,fever,n/a,0,q_proj,35,0.9999935626983643
full,fever,n/a,0,q_proj,36,0.999983012676239
full,fever,n/a,0,q_proj,37,0.9999849200248718
full,fever,n/a,0,q_proj,38,0.9999711513519287
full,fever,n/a,0,q_proj,39,0.9999606013298035
full,fever,n/a,0,q_proj,40,0.9999772906303406
full,fever,n/a,0,q_proj,41,0.9999933242797852
full,fever,n/a,0,q_proj,42,0.9998753070831299
full,fever,n/a,0,q_proj,43,0.9998753666877747
full,fever,n/a,0,q_proj,44,0.9999876022338867
full,fever,n/a,0,q_proj,45,0.999986469745636
full,fever,n/a,0,q_proj,46,0.9999796748161316
full,fever,n/a,0,q_proj,47,0.9999386072158813
full,fever,n/a,0,q_proj,48,0.9999478459358215
full,fever,n/a,0,q_proj,49,0.9999926090240479
full,fever,n/a,0,q_proj,50,0.9998381733894348
full,fever,n/a,0,v_proj,1,0.9999629855155945
full,fever,n/a,0,v_proj,2,0.9997591972351074
full,fever,n/a,0,v_proj,3,0.9998389482498169
full,fever,n/a,0,v_proj,4,0.9997961521148682
full,fever,n/a,0,v_proj,5,0.9999043345451355
full,fever,n/a,0,v_proj,6,0.9996805191040039
full,fever,n/a,0,v_proj,7,0.9992383718490601
full,fever,n/a,0,v_proj,8,0.9989414215087891
full,fever,n/a,0,v_proj,9,0.9995830059051514
full,fever,n/a,0,v_proj,10,0.9990856051445007
full,fever,n/a,0,v_proj,11,0.9983049631118774
full,fever,n/a,0,v_proj,12,0.9982303977012634
full,fever,n/a,0,v_proj,13,0.9970021843910217
full,fever,n/a,0,v_proj,14,0.9978601932525635
full,fever,n/a,0,v_proj,15,0.9955477118492126
full,fever,n/a,0,v_proj,16,0.9956279397010803
full,fever,n/a,0,v_proj,17,0.9985145330429077
full,fever,n/a,0,v_proj,18,0.9980413913726807
full,fever,n/a,0,v_proj,19,0.9975073933601379
full,fever,n/a,0,v_proj,20,0.9981768131256104
full,fever,n/a,0,v_proj,21,0.9979832768440247
full,fever,n/a,0,v_proj,22,0.9841408729553223
full,fever,n/a,0,v_proj,23,0.9856032729148865
full,fever,n/a,0,v_proj,24,0.9940333366394043
full,fever,n/a,0,v_proj,25,0.997783899307251
full,fever,n/a,0,v_proj,26,0.9956380128860474
full,fever,n/a,0,v_proj,27,0.9935584664344788
full,fever,n/a,0,v_proj,28,0.9939664602279663
full,fever,n/a,0,v_proj,29,0.991782546043396
full,fever,n/a,0,v_proj,30,0.9925136566162109
full,fever,n/a,0,v_proj,31,0.9866523146629333
full,fever,n/a,0,v_proj,32,0.9947482347488403
full,fever,n/a,0,v_proj,33,0.9874380826950073
full,fever,n/a,0,v_proj,34,0.9970217943191528
full,fever,n/a,0,v_proj,35,0.9835056066513062
full,fever,n/a,0,v_proj,36,0.9817500710487366
full,fever,n/a,0,v_proj,37,0.9922323822975159
full,fever,n/a,0,v_proj,38,0.9894315004348755
full,fever,n/a,0,v_proj,39,0.9923073649406433
full,fever,n/a,0,v_proj,40,0.9844567775726318
full,fever,n/a,0,v_proj,41,0.9601969718933105
full,fever,n/a,0,v_proj,42,0.9681467413902283
full,fever,n/a,0,v_proj,43,0.9829864501953125
full,fever,n/a,0,v_proj,44,0.9873446822166443
full,fever,n/a,0,v_proj,45,0.9929108619689941
full,fever,n/a,0,v_proj,46,0.9491170644760132
full,fever,n/a,0,v_proj,47,0.9468202590942383
full,fever,n/a,0,v_proj,48,0.9947222471237183
full,fever,n/a,0,v_proj,49,0.9951571226119995
full,fever,n/a,0,v_proj,50,0.9915510416030884
full,fever,n/a,0,up_proj,1,0.9999837875366211
full,fever,n/a,0,up_proj,2,0.9999802708625793
full,fever,n/a,0,up_proj,3,0.9999846816062927
full,fever,n/a,0,up_proj,4,0.9999754428863525
full,fever,n/a,0,up_proj,5,0.9999710321426392
full,fever,n/a,0,up_proj,6,0.9999662637710571
full,fever,n/a,0,up_proj,7,0.9999626278877258
full,fever,n/a,0,up_proj,8,0.9999532103538513
full,fever,n/a,0,up_proj,9,0.9998300671577454
full,fever,n/a,0,up_proj,10,0.999798595905304
full,fever,n/a,0,up_proj,11,0.9997459053993225
full,fever,n/a,0,up_proj,12,0.9997411370277405
full,fever,n/a,0,up_proj,13,0.9997385144233704
full,fever,n/a,0,up_proj,14,0.9994779825210571
full,fever,n/a,0,up_proj,15,0.9996852874755859
full,fever,n/a,0,up_proj,16,0.9998663663864136
full,fever,n/a,0,up_proj,17,0.9983614087104797
full,fever,n/a,0,up_proj,18,0.9983910918235779
full,fever,n/a,0,up_proj,19,0.9998785257339478
full,fever,n/a,0,up_proj,20,0.9998766183853149
full,fever,n/a,0,up_proj,21,0.9999258518218994
full,fever,n/a,0,up_proj,22,0.9999194741249084
full,fever,n/a,0,up_proj,23,0.999935507774353
full,fever,n/a,0,up_proj,24,0.9998599886894226
full,fever,n/a,0,up_proj,25,0.999871551990509
full,fever,n/a,0,up_proj,26,0.9990482926368713
full,fever,n/a,0,up_proj,27,0.9989647269248962
full,fever,n/a,0,up_proj,28,0.9998689293861389
full,fever,n/a,0,up_proj,29,0.999885082244873
full,fever,n/a,0,up_proj,30,0.9998863339424133
full,fever,n/a,0,up_proj,31,0.9998460412025452
full,fever,n/a,0,up_proj,32,0.9999265670776367
full,fever,n/a,0,up_proj,33,0.9998510479927063
full,fever,n/a,0,up_proj,34,0.9998947381973267
full,fever,n/a,0,up_proj,35,0.9998974800109863
full,fever,n/a,0,up_proj,36,0.9999099373817444
full,fever,n/a,0,up_proj,37,0.9997338056564331
full,fever,n/a,0,up_proj,38,0.9996710419654846
full,fever,n/a,0,up_proj,39,0.9998407363891602
full,fever,n/a,0,up_proj,40,0.9998090267181396
full,fever,n/a,0,up_proj,41,0.9997619986534119
full,fever,n/a,0,up_proj,42,0.9997470378875732
full,fever,n/a,0,up_proj,43,0.9998703002929688
full,fever,n/a,0,up_proj,44,0.9996570348739624
full,fever,n/a,0,up_proj,45,0.9996657371520996
full,fever,n/a,0,up_proj,46,0.999763011932373
full,fever,n/a,0,up_proj,47,0.9996640682220459
full,fever,n/a,0,up_proj,48,0.9987756013870239
full,fever,n/a,0,up_proj,49,0.9986313581466675
full,fever,n/a,0,up_proj,50,0.999459445476532
full,fever,n/a,0,down_proj,1,0.9999966621398926
full,fever,n/a,0,down_proj,2,0.9999967217445374
full,fever,n/a,0,down_proj,3,0.9999947547912598
full,fever,n/a,0,down_proj,4,0.9999948740005493
full,fever,n/a,0,down_proj,5,0.9999914765357971
full,fever,n/a,0,down_proj,6,0.9999760389328003
full,fever,n/a,0,down_proj,7,0.9999747276306152
full,fever,n/a,0,down_proj,8,0.9999765157699585
full,fever,n/a,0,down_proj,9,0.9999801516532898
full,fever,n/a,0,down_proj,10,0.9999753832817078
full,fever,n/a,0,down_proj,11,0.9999769330024719
full,fever,n/a,0,down_proj,12,0.9999712109565735
full,fever,n/a,0,down_proj,13,0.9999356865882874
full,fever,n/a,0,down_proj,14,0.9999202489852905
full,fever,n/a,0,down_proj,15,0.999941885471344
full,fever,n/a,0,down_proj,16,0.9999617338180542
full,fever,n/a,0,down_proj,17,0.9998317956924438
full,fever,n/a,0,down_proj,18,0.999832272529602
full,fever,n/a,0,down_proj,19,0.9999058246612549
full,fever,n/a,0,down_proj,20,0.9415585994720459
full,fever,n/a,0,down_proj,21,0.9414876699447632
full,fever,n/a,0,down_proj,22,0.9996208548545837
full,fever,n/a,0,down_proj,23,0.999554455280304
full,fever,n/a,0,down_proj,24,0.9998957514762878
full,fever,n/a,0,down_proj,25,0.9998889565467834
full,fever,n/a,0,down_proj,26,0.9997650980949402
full,fever,n/a,0,down_proj,27,0.9995300769805908
full,fever,n/a,0,down_proj,28,0.9997598528862
full,fever,n/a,0,down_proj,29,0.9996513724327087
full,fever,n/a,0,down_proj,30,0.9997956156730652
full,fever,n/a,0,down_proj,31,0.9998542666435242
full,fever,n/a,0,down_proj,32,0.999730110168457
full,fever,n/a,0,down_proj,33,0.9955248832702637
full,fever,n/a,0,down_proj,34,0.9955606460571289
full,fever,n/a,0,down_proj,35,0.9990528225898743
full,fever,n/a,0,down_proj,36,0.9993395805358887
full,fever,n/a,0,down_proj,37,0.9990558624267578
full,fever,n/a,0,down_proj,38,0.9997931718826294
full,fever,n/a,0,down_proj,39,0.9996793270111084
full,fever,n/a,0,down_proj,40,0.9992601275444031
full,fever,n/a,0,down_proj,41,0.9994000792503357
full,fever,n/a,0,down_proj,42,0.997812032699585
full,fever,n/a,0,down_proj,43,0.9977940917015076
full,fever,n/a,0,down_proj,44,0.999617874622345
full,fever,n/a,0,down_proj,45,0.9996873140335083
full,fever,n/a,0,down_proj,46,0.9998040795326233
full,fever,n/a,0,down_proj,47,0.9968535900115967
full,fever,n/a,0,down_proj,48,0.9968993663787842
full,fever,n/a,0,down_proj,49,0.9995366334915161
full,fever,n/a,0,down_proj,50,0.9988974332809448
full,fever,n/a,8,q_proj,1,0.9999963641166687
full,fever,n/a,8,q_proj,2,0.9999974966049194
full,fever,n/a,8,q_proj,3,0.9999973177909851
full,fever,n/a,8,q_proj,4,0.9999975562095642
full,fever,n/a,8,q_proj,5,0.9999959468841553
full,fever,n/a,8,q_proj,6,0.9999977350234985
full,fever,n/a,8,q_proj,7,0.9999945163726807
full,fever,n/a,8,q_proj,8,0.999976396560669
full,fever,n/a,8,q_proj,9,0.9999803304672241
full,fever,n/a,8,q_proj,10,0.9999963641166687
full,fever,n/a,8,q_proj,11,0.9999927878379822
full,fever,n/a,8,q_proj,12,0.9999923706054688
full,fever,n/a,8,q_proj,13,0.999970555305481
full,fever,n/a,8,q_proj,14,0.9999422430992126
full,fever,n/a,8,q_proj,15,0.9999430775642395
full,fever,n/a,8,q_proj,16,0.9999775886535645
full,fever,n/a,8,q_proj,17,0.9999912977218628
full,fever,n/a,8,q_proj,18,0.9999943971633911
full,fever,n/a,8,q_proj,19,0.9999905824661255
full,fever,n/a,8,q_proj,20,0.9999900460243225
full,fever,n/a,8,q_proj,21,0.9999794960021973
full,fever,n/a,8,q_proj,22,0.9999808669090271
full,fever,n/a,8,q_proj,23,0.9999657869338989
full,fever,n/a,8,q_proj,24,0.9999680519104004
full,fever,n/a,8,q_proj,25,0.9999891519546509
full,fever,n/a,8,q_proj,26,0.9999900460243225
full,fever,n/a,8,q_proj,27,0.999991774559021
full,fever,n/a,8,q_proj,28,0.9999901056289673
full,fever,n/a,8,q_proj,29,0.999984085559845
full,fever,n/a,8,q_proj,30,0.9999814629554749
full,fever,n/a,8,q_proj,31,0.9999710917472839
full,fever,n/a,8,q_proj,32,0.999955415725708
full,fever,n/a,8,q_proj,33,0.9999654293060303
full,fever,n/a,8,q_proj,34,0.9999752044677734
full,fever,n/a,8,q_proj,35,0.9999735355377197
full,fever,n/a,8,q_proj,36,0.9999841451644897
full,fever,n/a,8,q_proj,37,0.9999884366989136
full,fever,n/a,8,q_proj,38,0.9999754428863525
full,fever,n/a,8,q_proj,39,0.9999603033065796
full,fever,n/a,8,q_proj,40,0.9999503493309021
full,fever,n/a,8,q_proj,41,0.9999814033508301
full,fever,n/a,8,q_proj,42,0.9999892711639404
full,fever,n/a,8,q_proj,43,0.9999798536300659
full,fever,n/a,8,q_proj,44,0.9999829530715942
full,fever,n/a,8,q_proj,45,0.9999717473983765
full,fever,n/a,8,q_proj,46,0.9999866485595703
full,fever,n/a,8,q_proj,47,0.9999068975448608
full,fever,n/a,8,q_proj,48,0.999920666217804
full,fever,n/a,8,q_proj,49,0.9999697208404541
full,fever,n/a,8,q_proj,50,0.9999739527702332
full,fever,n/a,8,v_proj,1,0.9995002746582031
full,fever,n/a,8,v_proj,2,0.999058187007904
full,fever,n/a,8,v_proj,3,0.9991002082824707
full,fever,n/a,8,v_proj,4,0.99778151512146
full,fever,n/a,8,v_proj,5,0.9983881711959839
full,fever,n/a,8,v_proj,6,0.9976279139518738
full,fever,n/a,8,v_proj,7,0.9990279078483582
full,fever,n/a,8,v_proj,8,0.9995459318161011
full,fever,n/a,8,v_proj,9,0.9996025562286377
full,fever,n/a,8,v_proj,10,0.9979036450386047
full,fever,n/a,8,v_proj,11,0.9983230233192444
full,fever,n/a,8,v_proj,12,0.9967737793922424
full,fever,n/a,8,v_proj,13,0.9960229396820068
full,fever,n/a,8,v_proj,14,0.9969656467437744
full,fever,n/a,8,v_proj,15,0.998391330242157
full,fever,n/a,8,v_proj,16,0.9972203969955444
full,fever,n/a,8,v_proj,17,0.9972971081733704
full,fever,n/a,8,v_proj,18,0.9985175132751465
full,fever,n/a,8,v_proj,19,0.9969015121459961
full,fever,n/a,8,v_proj,20,0.9956234097480774
