method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.692,0.7092155561447143
stacked_lora,qqp,mnli,0.666,0.7472398002147674
stacked_lora,qqp,qqp,0.78,0.44777626514434815
stacked_lora,sst2,mnli,0.628,0.8695813646316528
stacked_lora,sst2,qqp,0.788,0.5139313366413116
stacked_lora,sst2,sst2,0.924,0.21309691122174262
stacked_lora,siqa,mnli,0.632,0.8719415779113769
stacked_lora,siqa,qqp,0.78,0.5144680398702621
stacked_lora,siqa,sst2,0.926,0.21785021255165338
stacked_lora,siqa,siqa,0.484,1.0397975101470947
stacked_lora,winogrande,mnli,0.626,0.8650177040100098
stacked_lora,winogrande,qqp,0.782,0.5054032135009766
stacked_lora,winogrande,sst2,0.924,0.21637503182888032
stacked_lora,winogrande,siqa,0.464,1.0519164600372315
stacked_lora,winogrande,winogrande,0.492,0.7056752471923828
stacked_lora,fever,mnli,0.624,0.8978494381904603
stacked_lora,fever,qqp,0.778,0.5335210468769074
stacked_lora,fever,sst2,0.926,0.22304749403893948
stacked_lora,fever,siqa,0.462,1.0427239203453065
stacked_lora,fever,winogrande,0.512,0.6986900930404663
stacked_lora,fever,fever,0.6,0.951811806678772
