method,stage,eval_task,accuracy,loss
full,mnli,mnli,0.847,0.4205547612980008
full,qqp,mnli,0.764,0.612931874036789
full,qqp,qqp,0.861,0.36871835535019637
full,sst2,mnli,0.7,0.742038325548172
full,sst2,qqp,0.829,0.4102357638776302
full,sst2,sst2,0.9380733944954128,0.1646184688017473
full,siqa,mnli,0.657,0.821777087688446
full,siqa,qqp,0.824,0.3919914935231209
full,siqa,sst2,0.9025229357798165,0.2444297989249366
full,siqa,siqa,0.72,0.7422245290279389
full,winogrande,mnli,0.611,0.8669513297080994
full,winogrande,qqp,0.824,0.3962550582885742
full,winogrande,sst2,0.8509174311926605,0.3427311264730375
full,winogrande,siqa,0.669,0.7615691895484924
full,winogrande,winogrande,0.599,0.6592740523815155
full,fever,mnli,0.645,0.8193641469478607
full,fever,qqp,0.82,0.4057045695781708
full,fever,sst2,0.8692660550458715,0.3030708053174916
full,fever,siqa,0.663,0.7638530259132386
full,fever,winogrande,0.579,0.672931467294693
full,fever,fever,0.701,0.8421596496105194
