method,stage,adapter_eval_mode,layer,module,top_k,epsilon,num_intruders,mean_max_similarity
full,fever,n/a,0,q_proj,150,0.5,0,0.998610258102417
full,fever,n/a,0,v_proj,150,0.5,0,0.9051867723464966
full,fever,n/a,0,up_proj,150,0.5,0,0.9582672119140625
full,fever,n/a,0,down_proj,150,0.5,0,0.9507964253425598
full,fever,n/a,8,q_proj,150,0.5,0,0.9981608986854553
full,fever,n/a,8,v_proj,150,0.5,0,0.9397270679473877
full,fever,n/a,8,up_proj,150,0.5,0,0.9866662621498108
full,fever,n/a,8,down_proj,150,0.5,0,0.9851059913635254
full,fever,n/a,15,q_proj,150,0.5,0,0.9995867013931274
full,fever,n/a,15,v_proj,150,0.5,0,0.9973160624504089
full,fever,n/a,15,up_proj,150,0.5,0,0.9976451396942139
full,fever,n/a,15,down_proj,150,0.5,0,0.986690878868103
full,mnli,n/a,0,q_proj,150,0.5,0,0.9997207522392273
full,mnli,n/a,0,v_proj,150,0.5,0,0.9776346683502197
full,mnli,n/a,0,up_proj,150,0.5,0,0.9908650517463684
full,mnli,n/a,0,down_proj,150,0.5,0,0.9913557171821594
full,mnli,n/a,8,q_proj,150,0.5,0,0.9998547434806824
full,mnli,n/a,8,v_proj,150,0.5,0,0.9830237030982971
full,mnli,n/a,8,up_proj,150,0.5,0,0.9975966215133667
full,mnli,n/a,8,down_proj,150,0.5,0,0.9979318976402283
full,mnli,n/a,15,q_proj,150,0.5,0,0.9999415278434753
full,mnli,n/a,15,v_proj,150,0.5,0,0.9997857809066772
full,mnli,n/a,15,up_proj,150,0.5,0,0.9996959567070007
full,mnli,n/a,15,down_proj,150,0.5,0,0.9991807341575623
full,qqp,n/a,0,q_proj,150,0.5,0,0.9994744062423706
full,qqp,n/a,0,v_proj,150,0.5,0,0.9677572846412659
full,qqp,n/a,0,up_proj,150,0.5,0,0.986764132976532
full,qqp,n/a,0,down_proj,150,0.5,0,0.9848437309265137
full,qqp,n/a,8,q_proj,150,0.5,0,0.999756395816803
full,qqp,n/a,8,v_proj,150,0.5,0,0.9758919477462769
full,qqp,n/a,8,up_proj,150,0.5,0,0.9968342185020447
full,qqp,n/a,8,down_proj,150,0.5,0,0.9956604838371277
full,qqp,n/a,15,q_proj,150,0.5,0,0.9998781085014343
full,qqp,n/a,15,v_proj,150,0.5,0,0.9994184374809265
