method,stage,adapter_eval_mode,layer,module,vector_index,max_similarity
full,fever,n/a,0,q_proj,1,0.999999463558197
full,fever,n/a,0,q_proj,2,0.9999983310699463
full,fever,n/a,0,q_proj,3,0.9999992847442627
full,fever,n/a,0,q_proj,4,0.9999967813491821
full,fever,n/a,0,q_proj,5,0.9999969005584717
full,fever,n/a,0,q_proj,6,0.9999971985816956
full,fever,n/a,0,q_proj,7,0.9999973773956299
full,fever,n/a,0,q_proj,8,0.9999967813491821
full,fever,n/a,0,q_proj,9,0.999995231628418
full,fever,n/a,0,q_proj,10,0.9999958276748657
full,fever,n/a,0,q_proj,11,0.9999929666519165
full,fever,n/a,0,q_proj,12,0.9999933242797852
full,fever,n/a,0,q_proj,13,0.9999932646751404
full,fever,n/a,0,q_proj,14,0.9999909400939941
full,fever,n/a,0,q_proj,15,0.9999776482582092
full,fever,n/a,0,q_proj,16,0.9999822974205017
full,fever,n/a,0,q_proj,17,0.9999703764915466
full,fever,n/a,0,q_proj,18,0.9999692440032959
full,fever,n/a,0,q_proj,19,0.9999745488166809
full,fever,n/a,0,q_proj,20,0.9999921321868896
full,fever,n/a,0,q_proj,21,0.9998698830604553
full,fever,n/a,0,q_proj,22,0.999876856803894
full,fever,n/a,0,q_proj,23,0.9999797344207764
full,fever,n/a,0,q_proj,24,0.9999664425849915
full,fever,n/a,0,q_proj,25,0.9999778866767883
full,fever,n/a,0,q_proj,26,0.9999725222587585
full,fever,n/a,0,q_proj,27,0.9999341368675232
full,fever,n/a,0,q_proj,28,0.999925971031189
full,fever,n/a,0,q_proj,29,0.999970018863678
full,fever,n/a,0,q_proj,30,0.9999338388442993
full,fever,n/a,0,q_proj,31,0.9999122619628906
full,fever,n/a,0,q_proj,32,0.9999193549156189
full,fever,n/a,0,q_proj,33,0.9999287724494934
full,fever,n/a,0,q_proj,34,0.9999550580978394
full,fever,n/a,0,q_proj,35,0.9999553561210632
full,fever,n/a,0,q_proj,36,0.9999475479125977
full,fever,n/a,0,q_proj,37,0.9999614357948303
full,fever,n/a,0,q_proj,38,0.99990314245224
full,fever,n/a,0,q_proj,39,0.9998971819877625
full,fever,n/a,0,q_proj,40,0.9999454617500305
full,fever,n/a,0,q_proj,41,0.999927818775177
full,fever,n/a,0,q_proj,42,0.9999514818191528
full,fever,n/a,0,q_proj,43,0.9999688267707825
full,fever,n/a,0,q_proj,44,0.9998149871826172
full,fever,n/a,0,q_proj,45,0.9998462796211243
full,fever,n/a,0,q_proj,46,0.9998900294303894
full,fever,n/a,0,q_proj,47,0.9997190237045288
full,fever,n/a,0,q_proj,48,0.9997439980506897
full,fever,n/a,0,q_proj,49,0.9998201131820679
full,fever,n/a,0,q_proj,50,0.9998419284820557
full,fever,n/a,0,q_proj,51,0.999913215637207
full,fever,n/a,0,q_proj,52,0.9999037981033325
full,fever,n/a,0,q_proj,53,0.9999366998672485
full,fever,n/a,0,q_proj,54,0.999875545501709
