method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.812,0.4987697557806969
stacked_lora,qqp,mnli,0.754,0.5861909697651864
stacked_lora,qqp,qqp,0.834,0.3606087090075016
stacked_lora,sst2,mnli,0.718,0.6686885458230972
stacked_lora,sst2,qqp,0.818,0.4026627287864685
stacked_lora,sst2,sst2,0.9461009174311926,0.16964769998240634
stacked_lora,siqa,mnli,0.719,0.6913983665108681
stacked_lora,siqa,qqp,0.821,0.41688554477691653
stacked_lora,siqa,sst2,0.9369266055045872,0.17412734537710087
stacked_lora,siqa,siqa,0.657,0.8142836580276489
stacked_lora,winogrande,mnli,0.726,0.6738551549315452
stacked_lora,winogrande,qqp,0.822,0.417686163187027
stacked_lora,winogrande,sst2,0.944954128440367,0.171089404251922
stacked_lora,winogrande,siqa,0.643,0.8120404012203216
stacked_lora,winogrande,winogrande,0.523,0.6927589559555054
stacked_lora,fever,mnli,0.739,0.6726918261051178
stacked_lora,fever,qqp,0.826,0.4069366805255413
stacked_lora,fever,sst2,0.9288990825688074,0.1864977116256508
stacked_lora,fever,siqa,0.632,0.8321443150043487
stacked_lora,fever,winogrande,0.522,0.6932676491737366
stacked_lora,fever,fever,0.654,0.7809550343751908
