method,stage,adapter_eval_mode,layer,module,pretrained_top_k,top_k,epsilon,num_intruders,mean_max_similarity
stacked_lora,fever,all,0,q_proj,150,150,0.8,0,0.9987053275108337
stacked_lora,fever,all,0,v_proj,150,150,0.8,0,0.9824768304824829
stacked_lora,fever,all,0,up_proj,150,150,0.8,0,0.9891166090965271
stacked_lora,fever,all,0,down_proj,150,150,0.8,0,0.9960790276527405
stacked_lora,fever,all,8,q_proj,150,150,0.8,0,0.9993444681167603
stacked_lora,fever,all,8,v_proj,150,150,0.8,0,0.983071506023407
stacked_lora,fever,all,8,up_proj,150,150,0.8,0,0.9919508695602417
stacked_lora,fever,all,8,down_proj,150,150,0.8,0,0.9984208345413208
stacked_lora,fever,all,15,q_proj,150,150,0.8,0,0.9998161792755127
stacked_lora,fever,all,15,v_proj,150,150,0.8,0,0.999191403388977
stacked_lora,fever,all,15,up_proj,150,150,0.8,0,0.9982903003692627
stacked_lora,fever,all,15,down_proj,150,150,0.8,0,0.9995680451393127
stacked_lora,mnli,all,0,q_proj,150,150,0.8,0,0.9998114109039307
stacked_lora,mnli,all,0,v_proj,150,150,0.8,0,0.9962722659111023
stacked_lora,mnli,all,0,up_proj,150,150,0.8,0,0.9984360933303833
stacked_lora,mnli,all,0,down_proj,150,150,0.8,0,0.9978542327880859
stacked_lora,mnli,all,8,q_proj,150,150,0.8,0,0.9997642040252686
stacked_lora,mnli,all,8,v_proj,150,150,0.8,0,0.9943123459815979
stacked_lora,mnli,all,8,up_proj,150,150,0.8,0,0.9979311227798462
stacked_lora,mnli,all,8,down_proj,150,150,0.8,0,0.9995839595794678
stacked_lora,mnli,all,15,q_proj,150,150,0.8,0,0.999951958656311
stacked_lora,mnli,all,15,v_proj,150,150,0.8,0,0.9998325705528259
stacked_lora,mnli,all,15,up_proj,150,150,0.8,0,0.9996103048324585
stacked_lora,mnli,all,15,down_proj,150,150,0.8,0,0.9998504519462585
stacked_lora,qqp,all,0,q_proj,150,150,0.8,0,0.9992395043373108
stacked_lora,qqp,all,0,v_proj,150,150,0.8,0,0.9933596849441528
stacked_lora,qqp,all,0,up_proj,150,150,0.8,0,0.9965284466743469
stacked_lora,qqp,all,0,down_proj,150,150,0.8,0,0.9977325201034546
stacked_lora,qqp,all,8,q_proj,150,150,0.8,0,0.9997369647026062
stacked_lora,qqp,all,8,v_proj,150,150,0.8,0,0.9922733306884766
stacked_lora,qqp,all,8,up_proj,150,150,0.8,0,0.9958561062812805
stacked_lora,qqp,all,8,down_proj,150,150,0.8,0,0.9990659356117249
