method,stage,adapter_eval_mode,layer,module,vector_index,max_similarity
stacked_lora,fever,all,0,q_proj,1,0.9999998211860657
stacked_lora,fever,all,0,q_proj,2,1.0000005960464478
stacked_lora,fever,all,0,q_proj,3,1.0000008344650269
stacked_lora,fever,all,0,q_proj,4,0.9999985098838806
stacked_lora,fever,all,0,q_proj,5,0.9999986290931702
stacked_lora,fever,all,0,q_proj,6,0.9999988079071045
stacked_lora,fever,all,0,q_proj,7,0.9999990463256836
stacked_lora,fever,all,0,q_proj,8,0.9999989867210388
stacked_lora,fever,all,0,q_proj,9,0.9999989867210388
stacked_lora,fever,all,0,q_proj,10,0.9999988675117493
stacked_lora,fever,all,0,q_proj,11,0.999998927116394
stacked_lora,fever,all,0,q_proj,12,0.9999989867210388
stacked_lora,fever,all,0,q_proj,13,0.9999980926513672
stacked_lora,fever,all,0,q_proj,14,0.9999982714653015
stacked_lora,fever,all,0,q_proj,15,0.99997478723526
stacked_lora,fever,all,0,q_proj,16,0.9999728798866272
stacked_lora,fever,all,0,q_proj,17,0.999995768070221
stacked_lora,fever,all,0,q_proj,18,0.9999980926513672
stacked_lora,fever,all,0,q_proj,19,0.9999980926513672
stacked_lora,fever,all,0,q_proj,20,0.9999978542327881
stacked_lora,fever,all,0,q_proj,21,0.9999815821647644
stacked_lora,fever,all,0,q_proj,22,0.9999805092811584
stacked_lora,fever,all,0,q_proj,23,0.9999929666519165
stacked_lora,fever,all,0,q_proj,24,0.9999971389770508
stacked_lora,fever,all,0,q_proj,25,0.9999895095825195
stacked_lora,fever,all,0,q_proj,26,0.9999895691871643
stacked_lora,fever,all,0,q_proj,27,0.99997478723526
stacked_lora,fever,all,0,q_proj,28,0.9999717473983765
stacked_lora,fever,all,0,q_proj,29,0.9999935626983643
stacked_lora,fever,all,0,q_proj,30,0.9999915957450867
stacked_lora,fever,all,0,q_proj,31,0.9999918341636658
stacked_lora,fever,all,0,q_proj,32,0.9999653100967407
stacked_lora,fever,all,0,q_proj,33,0.9999676942825317
stacked_lora,fever,all,0,q_proj,34,0.9999892711639404
stacked_lora,fever,all,0,q_proj,35,0.9999843835830688
stacked_lora,fever,all,0,q_proj,36,0.9999821782112122
stacked_lora,fever,all,0,q_proj,37,0.9999805688858032
stacked_lora,fever,all,0,q_proj,38,0.9999760985374451
stacked_lora,fever,all,0,q_proj,39,0.9999845027923584
stacked_lora,fever,all,0,q_proj,40,0.9999856352806091
stacked_lora,fever,all,0,q_proj,41,0.9999787211418152
stacked_lora,fever,all,0,q_proj,42,0.9999336004257202
stacked_lora,fever,all,0,q_proj,43,0.9999369382858276
stacked_lora,fever,all,0,q_proj,44,0.9999749064445496
stacked_lora,fever,all,0,q_proj,45,0.9999818205833435
stacked_lora,fever,all,0,q_proj,46,0.9999771118164062
stacked_lora,fever,all,0,q_proj,47,0.9999772906303406
stacked_lora,fever,all,0,q_proj,48,0.9999821186065674
stacked_lora,fever,all,0,q_proj,49,0.9999693632125854
stacked_lora,fever,all,0,q_proj,50,0.9999690055847168
stacked_lora,fever,all,0,q_proj,51,0.9999738931655884
stacked_lora,fever,all,0,q_proj,52,0.9999702572822571
stacked_lora,fever,all,0,q_proj,53,0.999984860420227
stacked_lora,fever,all,0,q_proj,54,0.9998619556427002
stacked_lora,fever,all,0,q_proj,55,0.9998596906661987
stacked_lora,fever,all,0,q_proj,56,0.9999464750289917
stacked_lora,fever,all,0,q_proj,57,0.9997971653938293
stacked_lora,fever,all,0,q_proj,58,0.9998034238815308
stacked_lora,fever,all,0,q_proj,59,0.9999772310256958
stacked_lora,fever,all,0,q_proj,60,0.9999269843101501
stacked_lora,fever,all,0,q_proj,61,0.9999419450759888
stacked_lora,fever,all,0,q_proj,62,0.9999490976333618
stacked_lora,fever,all,0,q_proj,63,0.9999445080757141
stacked_lora,fever,all,0,q_proj,64,0.9999842047691345
stacked_lora,fever,all,0,q_proj,65,0.9997722506523132
stacked_lora,fever,all,0,q_proj,66,0.9997771978378296
stacked_lora,fever,all,0,q_proj,67,0.999349057674408
stacked_lora,fever,all,0,q_proj,68,0.9993666410446167
stacked_lora,fever,all,0,q_proj,69,0.9999158978462219
stacked_lora,fever,all,0,q_proj,70,0.9999693632125854
stacked_lora,fever,all,0,q_proj,71,0.9999562501907349
stacked_lora,fever,all,0,q_proj,72,0.9999673366546631
stacked_lora,fever,all,0,q_proj,73,0.9998084902763367
stacked_lora,fever,all,0,q_proj,74,0.9998296499252319
stacked_lora,fever,all,0,q_proj,75,0.9998776316642761
stacked_lora,fever,all,0,q_proj,76,0.9999530911445618
stacked_lora,fever,all,0,q_proj,77,0.9999021291732788
stacked_lora,fever,all,0,q_proj,78,0.9997932314872742
stacked_lora,fever,all,0,q_proj,79,0.999809741973877
stacked_lora,fever,all,0,q_proj,80,0.9996510148048401
stacked_lora,fever,all,0,q_proj,81,0.9996254444122314
stacked_lora,fever,all,0,q_proj,82,0.9999616742134094
stacked_lora,fever,all,0,q_proj,83,0.9998953342437744
stacked_lora,fever,all,0,q_proj,84,0.999876081943512
stacked_lora,fever,all,0,q_proj,85,0.999916136264801
stacked_lora,fever,all,0,q_proj,86,0.9999406337738037
stacked_lora,fever,all,0,q_proj,87,0.9998840689659119
stacked_lora,fever,all,0,q_proj,88,0.999875545501709
stacked_lora,fever,all,0,q_proj,89,0.9999537467956543
stacked_lora,fever,all,0,q_proj,90,0.9998432397842407
stacked_lora,fever,all,0,q_proj,91,0.9997574090957642
stacked_lora,fever,all,0,q_proj,92,0.9997842311859131
stacked_lora,fever,all,0,q_proj,93,0.9998525381088257
stacked_lora,fever,all,0,q_proj,94,0.9998065829277039
stacked_lora,fever,all,0,q_proj,95,0.9998513460159302
stacked_lora,fever,all,0,q_proj,96,0.9999505877494812
stacked_lora,fever,all,0,q_proj,97,0.9999582767486572
stacked_lora,fever,all,0,q_proj,98,0.9999389052391052
stacked_lora,fever,all,0,q_proj,99,0.9999685883522034
stacked_lora,fever,all,0,q_proj,100,0.9992679953575134
stacked_lora,fever,all,0,q_proj,101,0.9992450475692749
stacked_lora,fever,all,0,q_proj,102,0.9999024271965027
stacked_lora,fever,all,0,q_proj,103,0.9995185136795044
stacked_lora,fever,all,0,q_proj,104,0.9993454813957214
stacked_lora,fever,all,0,q_proj,105,0.9997017979621887
stacked_lora,fever,all,0,q_proj,106,0.9999313354492188
stacked_lora,fever,all,0,q_proj,107,0.9999305009841919
stacked_lora,fever,all,0,q_proj,108,0.9999229311943054
stacked_lora,fever,all,0,q_proj,109,0.999919056892395
stacked_lora,fever,all,0,q_proj,110,0.9999110102653503
stacked_lora,fever,all,0,q_proj,111,0.9998718500137329
stacked_lora,fever,all,0,q_proj,112,0.9998615980148315
stacked_lora,fever,all,0,q_proj,113,0.9305502772331238
stacked_lora,fever,all,0,q_proj,114,0.9302254319190979
stacked_lora,fever,all,0,q_proj,115,0.9993271231651306
stacked_lora,fever,all,0,q_proj,116,0.9995074272155762
stacked_lora,fever,all,0,q_proj,117,0.9995168447494507
stacked_lora,fever,all,0,q_proj,118,0.9997384548187256
stacked_lora,fever,all,0,q_proj,119,0.9994013905525208
stacked_lora,fever,all,0,q_proj,120,0.99934321641922
stacked_lora,fever,all,0,q_proj,121,0.9997915029525757
stacked_lora,fever,all,0,q_proj,122,0.9998970031738281
stacked_lora,fever,all,0,q_proj,123,0.9995766282081604
