method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.804,0.50130168902874
stacked_lora,qqp,mnli,0.751,0.5933424662947655
stacked_lora,qqp,qqp,0.836,0.3592461225390434
stacked_lora,sst2,mnli,0.713,0.6895791152715683
stacked_lora,sst2,qqp,0.797,0.4783549472689629
stacked_lora,sst2,sst2,0.944954128440367,0.16909951210415008
stacked_lora,siqa,mnli,0.727,0.6807147885859013
stacked_lora,siqa,qqp,0.79,0.49150878128409387
stacked_lora,siqa,sst2,0.9392201834862385,0.1781347851619261
stacked_lora,siqa,siqa,0.649,0.8122279434204102
stacked_lora,winogrande,mnli,0.733,0.670584952712059
stacked_lora,winogrande,qqp,0.789,0.4930441339612007
stacked_lora,winogrande,sst2,0.9426605504587156,0.17479725855129233
stacked_lora,winogrande,siqa,0.651,0.8098602929115295
stacked_lora,winogrande,winogrande,0.519,0.6924241189956665
stacked_lora,fever,mnli,0.742,0.6686055055558682
stacked_lora,fever,qqp,0.807,0.4679744099378586
stacked_lora,fever,sst2,0.9277522935779816,0.19386693968121474
stacked_lora,fever,siqa,0.637,0.8300623443126679
stacked_lora,fever,winogrande,0.521,0.6930638227462769
stacked_lora,fever,fever,0.652,0.78234386241436
