method,stage,eval_task,accuracy,loss
full,mnli,mnli,0.846,0.42730508325994015
full,qqp,mnli,0.766,0.6424743357896805
full,qqp,qqp,0.871,0.3741124243885279
full,sst2,mnli,0.653,0.817634382724762
full,sst2,qqp,0.823,0.4328476832956076
full,sst2,sst2,0.9380733944954128,0.17903100589499596
full,siqa,mnli,0.669,0.8013687510490417
full,siqa,qqp,0.829,0.4012498876154423
full,siqa,sst2,0.9277522935779816,0.1932239578096965
full,siqa,siqa,0.717,0.7410928117632866
full,winogrande,mnli,0.598,0.85763214468956
full,winogrande,qqp,0.816,0.41151434916257856
full,winogrande,sst2,0.9094036697247706,0.24505931074056056
full,winogrande,siqa,0.681,0.7297210314273834
full,winogrande,winogrande,0.603,0.6535767252445221
full,fever,mnli,0.671,0.7802683498859405
full,fever,qqp,0.814,0.4115703898668289
full,fever,sst2,0.893348623853211,0.28281980992183775
full,fever,siqa,0.678,0.7500982275009155
full,fever,winogrande,0.59,0.6600691423416137
full,fever,fever,0.7,0.8352984149158001
