method,stage,adapter_eval_mode,layer,module,pretrained_top_k,top_k,epsilon,num_intruders,mean_max_similarity
full,fever,n/a,0,q_proj,150,150,0.8,0,0.9967592358589172
full,fever,n/a,0,v_proj,150,150,0.8,21,0.9063493013381958
full,fever,n/a,0,up_proj,150,150,0.8,5,0.9641023874282837
full,fever,n/a,0,down_proj,150,150,0.8,4,0.9548342823982239
full,fever,n/a,8,q_proj,150,150,0.8,0,0.9990686178207397
full,fever,n/a,8,v_proj,150,150,0.8,6,0.9537261128425598
full,fever,n/a,8,up_proj,150,150,0.8,0,0.9841697216033936
full,fever,n/a,8,down_proj,150,150,0.8,0,0.986947238445282
full,fever,n/a,15,q_proj,150,150,0.8,0,0.9996309280395508
full,fever,n/a,15,v_proj,150,150,0.8,0,0.9965453147888184
full,fever,n/a,15,up_proj,150,150,0.8,0,0.9981289505958557
full,fever,n/a,15,down_proj,150,150,0.8,0,0.9922938942909241
full,mnli,n/a,0,q_proj,150,150,0.8,0,0.999606728553772
full,mnli,n/a,0,v_proj,150,150,0.8,2,0.9780625700950623
full,mnli,n/a,0,up_proj,150,150,0.8,0,0.9906846880912781
full,mnli,n/a,0,down_proj,150,150,0.8,0,0.9940351247787476
full,mnli,n/a,8,q_proj,150,150,0.8,0,0.9998341798782349
full,mnli,n/a,8,v_proj,150,150,0.8,2,0.981300950050354
full,mnli,n/a,8,up_proj,150,150,0.8,0,0.9974486231803894
full,mnli,n/a,8,down_proj,150,150,0.8,0,0.997475266456604
full,mnli,n/a,15,q_proj,150,150,0.8,0,0.9999356865882874
full,mnli,n/a,15,v_proj,150,150,0.8,0,0.9997745752334595
full,mnli,n/a,15,up_proj,150,150,0.8,0,0.9997625946998596
full,mnli,n/a,15,down_proj,150,150,0.8,0,0.9989145994186401
full,qqp,n/a,0,q_proj,150,150,0.8,0,0.9992884397506714
full,qqp,n/a,0,v_proj,150,150,0.8,3,0.9666764140129089
full,qqp,n/a,0,up_proj,150,150,0.8,0,0.9854137301445007
full,qqp,n/a,0,down_proj,150,150,0.8,2,0.9867236614227295
full,qqp,n/a,8,q_proj,150,150,0.8,0,0.9996935129165649
full,qqp,n/a,8,v_proj,150,150,0.8,2,0.9785404205322266
full,qqp,n/a,8,up_proj,150,150,0.8,0,0.9968795776367188
full,qqp,n/a,8,down_proj,150,150,0.8,0,0.9956914186477661
full,qqp,n/a,15,q_proj,150,150,0.8,0,0.9998832941055298
full,qqp,n/a,15,v_proj,150,150,0.8,0,0.9993932843208313
full,qqp,n/a,15,up_proj,150,150,0.8,0,0.9995500445365906
full,qqp,n/a,15,down_proj,150,150,0.8,0,0.9987358450889587
full,siqa,n/a,0,q_proj,150,150,0.8,0,0.9981833696365356
full,siqa,n/a,0,v_proj,150,150,0.8,14,0.9219465851783752
full,siqa,n/a,0,up_proj,150,150,0.8,2,0.970223605632782
full,siqa,n/a,0,down_proj,150,150,0.8,4,0.9693762063980103
full,siqa,n/a,8,q_proj,150,150,0.8,0,0.9992701411247253
full,siqa,n/a,8,v_proj,150,150,0.8,7,0.9629440307617188
full,siqa,n/a,8,up_proj,150,150,0.8,0,0.9868940114974976
full,siqa,n/a,8,down_proj,150,150,0.8,0,0.9923999309539795
full,siqa,n/a,15,q_proj,150,150,0.8,0,0.9998039603233337
full,siqa,n/a,15,v_proj,150,150,0.8,0,0.9986782073974609
full,siqa,n/a,15,up_proj,150,150,0.8,0,0.999005913734436
full,siqa,n/a,15,down_proj,150,150,0.8,0,0.995650053024292
full,sst2,n/a,0,q_proj,150,150,0.8,0,0.9989962577819824
full,sst2,n/a,0,v_proj,150,150,0.8,13,0.9373192191123962
full,sst2,n/a,0,up_proj,150,150,0.8,5,0.974169909954071
full,sst2,n/a,0,down_proj,150,150,0.8,6,0.9729917645454407
full,sst2,n/a,8,q_proj,150,150,0.8,0,0.9994567632675171
full,sst2,n/a,8,v_proj,150,150,0.8,7,0.9709808230400085
full,sst2,n/a,8,up_proj,150,150,0.8,0,0.9926835298538208
full,sst2,n/a,8,down_proj,150,150,0.8,0,0.9941319823265076
