method,stage,adapter_eval_mode,layer,module,vector_index,max_similarity
full,fever,n/a,0,q_proj,1,0.9999990463256836
full,fever,n/a,0,q_proj,2,0.9999982118606567
full,fever,n/a,0,q_proj,3,0.9999989867210388
full,fever,n/a,0,q_proj,4,0.9999962449073792
full,fever,n/a,0,q_proj,5,0.999997079372406
full,fever,n/a,0,q_proj,6,0.9999966621398926
full,fever,n/a,0,q_proj,7,0.9999974966049194
full,fever,n/a,0,q_proj,8,0.9999979734420776
full,fever,n/a,0,q_proj,9,0.9999960660934448
full,fever,n/a,0,q_proj,10,0.9999958872795105
full,fever,n/a,0,q_proj,11,0.9999939799308777
full,fever,n/a,0,q_proj,12,0.999994158744812
full,fever,n/a,0,q_proj,13,0.9999942183494568
full,fever,n/a,0,q_proj,14,0.9999917149543762
full,fever,n/a,0,q_proj,15,0.9996486902236938
full,fever,n/a,0,q_proj,16,0.9996392726898193
full,fever,n/a,0,q_proj,17,0.9999701976776123
full,fever,n/a,0,q_proj,18,0.9999817609786987
full,fever,n/a,0,q_proj,19,0.9999780058860779
full,fever,n/a,0,q_proj,20,0.9999920129776001
full,fever,n/a,0,q_proj,21,0.9999781847000122
full,fever,n/a,0,q_proj,22,0.9999750852584839
full,fever,n/a,0,q_proj,23,0.9999869465827942
full,fever,n/a,0,q_proj,24,0.9999693036079407
full,fever,n/a,0,q_proj,25,0.9999717473983765
full,fever,n/a,0,q_proj,26,0.9999715685844421
full,fever,n/a,0,q_proj,27,0.9999064207077026
full,fever,n/a,0,q_proj,28,0.99989914894104
full,fever,n/a,0,q_proj,29,0.9999539256095886
full,fever,n/a,0,q_proj,30,0.9999738335609436
full,fever,n/a,0,q_proj,31,0.999943196773529
full,fever,n/a,0,q_proj,32,0.9999616146087646
full,fever,n/a,0,q_proj,33,0.9999763369560242
full,fever,n/a,0,q_proj,34,0.9999497532844543
full,fever,n/a,0,q_proj,35,0.9999165534973145
full,fever,n/a,0,q_proj,36,0.9999142289161682
full,fever,n/a,0,q_proj,37,0.9999449849128723
full,fever,n/a,0,q_proj,38,0.9998976588249207
full,fever,n/a,0,q_proj,39,0.9998512864112854
full,fever,n/a,0,q_proj,40,0.9999511241912842
full,fever,n/a,0,q_proj,41,0.9999394416809082
full,fever,n/a,0,q_proj,42,0.9996176958084106
full,fever,n/a,0,q_proj,43,0.9996343851089478
full,fever,n/a,0,q_proj,44,0.9999268651008606
full,fever,n/a,0,q_proj,45,0.9999551773071289
full,fever,n/a,0,q_proj,46,0.9998911023139954
full,fever,n/a,0,q_proj,47,0.9995492696762085
full,fever,n/a,0,q_proj,48,0.9995976090431213
full,fever,n/a,0,q_proj,49,0.9998476505279541
full,fever,n/a,0,q_proj,50,0.9998713135719299
full,fever,n/a,0,q_proj,51,0.9999052882194519
full,fever,n/a,0,q_proj,52,0.9999072551727295
full,fever,n/a,0,q_proj,53,0.9999086856842041
full,fever,n/a,0,q_proj,54,0.9999245405197144
full,fever,n/a,0,q_proj,55,0.9998747706413269
full,fever,n/a,0,q_proj,56,0.9999112486839294
full,fever,n/a,0,q_proj,57,0.9976918697357178
full,fever,n/a,0,q_proj,58,0.9977568984031677
full,fever,n/a,0,q_proj,59,0.9998164772987366
full,fever,n/a,0,q_proj,60,0.9998894929885864
full,fever,n/a,0,q_proj,61,0.9999454021453857
full,fever,n/a,0,q_proj,62,0.9996718168258667
full,fever,n/a,0,q_proj,63,0.9996895790100098
full,fever,n/a,0,q_proj,64,0.9995155930519104
full,fever,n/a,0,q_proj,65,0.9995920062065125
full,fever,n/a,0,q_proj,66,0.9997996687889099
full,fever,n/a,0,q_proj,67,0.9993441104888916
full,fever,n/a,0,q_proj,68,0.9993955492973328
full,fever,n/a,0,q_proj,69,0.9996745586395264
full,fever,n/a,0,q_proj,70,0.9998308420181274
full,fever,n/a,0,q_proj,71,0.9997888207435608
full,fever,n/a,0,q_proj,72,0.9998323321342468
full,fever,n/a,0,q_proj,73,0.999531626701355
full,fever,n/a,0,q_proj,74,0.9995290637016296
full,fever,n/a,0,q_proj,75,0.9997729659080505
full,fever,n/a,0,q_proj,76,0.9989668726921082
full,fever,n/a,0,q_proj,77,0.9990450739860535
full,fever,n/a,0,q_proj,78,0.9997751116752625
full,fever,n/a,0,q_proj,79,0.9997826218605042
full,fever,n/a,0,q_proj,80,0.9998190402984619
full,fever,n/a,0,q_proj,81,0.9998559951782227
full,fever,n/a,0,q_proj,82,0.9996729493141174
full,fever,n/a,0,q_proj,83,0.9994098544120789
full,fever,n/a,0,q_proj,84,0.9995332956314087
full,fever,n/a,0,q_proj,85,0.9998131394386292
full,fever,n/a,0,q_proj,86,0.9997093677520752
full,fever,n/a,0,q_proj,87,0.999590277671814
full,fever,n/a,0,q_proj,88,0.9387277364730835
full,fever,n/a,0,q_proj,89,0.9389069676399231
full,fever,n/a,0,q_proj,90,0.9997641444206238
full,fever,n/a,0,q_proj,91,0.9998177289962769
full,fever,n/a,0,q_proj,92,0.999718964099884
full,fever,n/a,0,q_proj,93,0.9986888766288757
full,fever,n/a,0,q_proj,94,0.9988331198692322
full,fever,n/a,0,q_proj,95,0.9998354315757751
full,fever,n/a,0,q_proj,96,0.9998391270637512
full,fever,n/a,0,q_proj,97,0.9998087882995605
full,fever,n/a,0,q_proj,98,0.9998133182525635
full,fever,n/a,0,q_proj,99,0.9997378587722778
full,fever,n/a,0,q_proj,100,0.9946715235710144
full,fever,n/a,0,q_proj,101,0.9947121739387512
full,fever,n/a,0,q_proj,102,0.9996421337127686
full,fever,n/a,0,q_proj,103,0.9995572566986084
full,fever,n/a,0,q_proj,104,0.9995518326759338
full,fever,n/a,0,q_proj,105,0.9995899796485901
full,fever,n/a,0,q_proj,106,0.9996845126152039
full,fever,n/a,0,q_proj,107,0.9986667633056641
full,fever,n/a,0,q_proj,108,0.9986253380775452
full,fever,n/a,0,q_proj,109,0.9994457960128784
full,fever,n/a,0,q_proj,110,0.9996197819709778
full,fever,n/a,0,q_proj,111,0.9997684359550476
full,fever,n/a,0,q_proj,112,0.999437689781189
full,fever,n/a,0,q_proj,113,0.9029090404510498
full,fever,n/a,0,q_proj,114,0.9021707773208618
full,fever,n/a,0,q_proj,115,0.9989427924156189
full,fever,n/a,0,q_proj,116,0.99908447265625
full,fever,n/a,0,q_proj,117,0.9985909461975098
full,fever,n/a,0,q_proj,118,0.9988799095153809
full,fever,n/a,0,q_proj,119,0.9977384209632874
full,fever,n/a,0,q_proj,120,0.9970241189002991
full,fever,n/a,0,q_proj,121,0.9997238516807556
full,fever,n/a,0,q_proj,122,0.9997321963310242
full,fever,n/a,0,q_proj,123,0.9996892809867859
full,fever,n/a,0,q_proj,124,0.9988069534301758
full,fever,n/a,0,q_proj,125,0.9971441626548767
full,fever,n/a,0,q_proj,126,0.9977527856826782
full,fever,n/a,0,q_proj,127,0.99896240234375
full,fever,n/a,0,q_proj,128,0.9912869930267334
full,fever,n/a,0,q_proj,129,0.9916951656341553
