method,stage,adapter_eval_mode,layer,module,top_k,epsilon,num_intruders,mean_max_similarity
full,fever,n/a,0,q_proj,50,0.5,0,0.9999176263809204
full,fever,n/a,0,v_proj,50,0.5,0,0.951393187046051
full,fever,n/a,0,up_proj,50,0.5,0,0.9981921911239624
full,fever,n/a,0,down_proj,50,0.5,0,0.993671715259552
full,fever,n/a,8,q_proj,50,0.5,0,0.9998795986175537
full,fever,n/a,8,v_proj,50,0.5,0,0.9648340344429016
full,fever,n/a,8,up_proj,50,0.5,0,0.9948408603668213
full,fever,n/a,8,down_proj,50,0.5,0,0.9991485476493835
full,fever,n/a,15,q_proj,50,0.5,0,0.9999595880508423
full,fever,n/a,15,v_proj,50,0.5,0,0.9996861219406128
full,fever,n/a,15,up_proj,50,0.5,0,0.9998674988746643
full,fever,n/a,15,down_proj,50,0.5,0,0.9977991580963135
full,mnli,n/a,0,q_proj,50,0.5,0,0.9999904036521912
full,mnli,n/a,0,v_proj,50,0.5,0,0.9947726726531982
full,mnli,n/a,0,up_proj,50,0.5,0,0.9997414946556091
full,mnli,n/a,0,down_proj,50,0.5,0,0.9991716146469116
full,mnli,n/a,8,q_proj,50,0.5,0,0.9999808669090271
full,mnli,n/a,8,v_proj,50,0.5,0,0.9902169704437256
full,mnli,n/a,8,up_proj,50,0.5,0,0.9971498250961304
full,mnli,n/a,8,down_proj,50,0.5,0,0.9998869895935059
full,mnli,n/a,15,q_proj,50,0.5,0,0.9999934434890747
full,mnli,n/a,15,v_proj,50,0.5,0,0.9999772906303406
full,mnli,n/a,15,up_proj,50,0.5,0,0.9999806880950928
full,mnli,n/a,15,down_proj,50,0.5,0,0.9996119737625122
full,qqp,n/a,0,q_proj,50,0.5,0,0.9999755024909973
full,qqp,n/a,0,v_proj,50,0.5,0,0.9904024004936218
full,qqp,n/a,0,up_proj,50,0.5,0,0.999441921710968
full,qqp,n/a,0,down_proj,50,0.5,0,0.998097836971283
full,qqp,n/a,8,q_proj,50,0.5,0,0.9999604821205139
full,qqp,n/a,8,v_proj,50,0.5,0,0.9870695471763611
full,qqp,n/a,8,up_proj,50,0.5,0,0.9989264607429504
full,qqp,n/a,8,down_proj,50,0.5,0,0.9997937083244324
full,qqp,n/a,15,q_proj,50,0.5,0,0.999985933303833
full,qqp,n/a,15,v_proj,50,0.5,0,0.9998732209205627
full,qqp,n/a,15,up_proj,50,0.5,0,0.99997878074646
full,qqp,n/a,15,down_proj,50,0.5,0,0.9995452761650085
full,siqa,n/a,0,q_proj,50,0.5,0,0.9999226927757263
full,siqa,n/a,0,v_proj,50,0.5,0,0.9700639843940735
full,siqa,n/a,0,up_proj,50,0.5,0,0.9987937211990356
full,siqa,n/a,0,down_proj,50,0.5,0,0.9980003237724304
full,siqa,n/a,8,q_proj,50,0.5,0,0.9999098777770996
full,siqa,n/a,8,v_proj,50,0.5,0,0.9800734519958496
full,siqa,n/a,8,up_proj,50,0.5,0,0.9970479011535645
full,siqa,n/a,8,down_proj,50,0.5,0,0.9994503855705261
full,siqa,n/a,15,q_proj,50,0.5,0,0.9999791979789734
full,siqa,n/a,15,v_proj,50,0.5,0,0.9997514486312866
full,siqa,n/a,15,up_proj,50,0.5,0,0.9999499320983887
full,siqa,n/a,15,down_proj,50,0.5,0,0.9985640048980713
full,sst2,n/a,0,q_proj,50,0.5,0,0.9999507069587708
full,sst2,n/a,0,v_proj,50,0.5,0,0.9826269745826721
full,sst2,n/a,0,up_proj,50,0.5,0,0.9992603063583374
full,sst2,n/a,0,down_proj,50,0.5,0,0.997407853603363
full,sst2,n/a,8,q_proj,50,0.5,0,0.9999516010284424
full,sst2,n/a,8,v_proj,50,0.5,0,0.9806276559829712
full,sst2,n/a,8,up_proj,50,0.5,0,0.9976925849914551
full,sst2,n/a,8,down_proj,50,0.5,0,0.9996634125709534
full,sst2,n/a,15,q_proj,50,0.5,0,0.9999809861183167
full,sst2,n/a,15,v_proj,50,0.5,0,0.9997297525405884
full,sst2,n/a,15,up_proj,50,0.5,0,0.9999668002128601
full,sst2,n/a,15,down_proj,50,0.5,0,0.9991880059242249
full,winogrande,n/a,0,q_proj,50,0.5,0,0.9999291896820068
full,winogrande,n/a,0,v_proj,50,0.5,0,0.9602691531181335
full,winogrande,n/a,0,up_proj,50,0.5,0,0.9983680844306946
full,winogrande,n/a,0,down_proj,50,0.5,0,0.993930995464325
full,winogrande,n/a,8,q_proj,50,0.5,0,0.9999062418937683
full,winogrande,n/a,8,v_proj,50,0.5,0,0.9794784784317017
full,winogrande,n/a,8,up_proj,50,0.5,0,0.9962801337242126
full,winogrande,n/a,8,down_proj,50,0.5,0,0.9994747638702393
full,winogrande,n/a,15,q_proj,50,0.5,0,0.9999681711196899
full,winogrande,n/a,15,v_proj,50,0.5,0,0.9997637271881104
full,winogrande,n/a,15,up_proj,50,0.5,0,0.9998956322669983
full,winogrande,n/a,15,down_proj,50,0.5,0,0.9981874823570251
single_lora,fever,n/a,0,q_proj,50,0.5,0,0.999981701374054
single_lora,fever,n/a,0,v_proj,50,0.5,0,0.9929348230361938
single_lora,fever,n/a,0,up_proj,50,0.5,0,0.9997981786727905
single_lora,fever,n/a,0,down_proj,50,0.5,0,0.9937520027160645
single_lora,fever,n/a,8,q_proj,50,0.5,0,0.9999637007713318
single_lora,fever,n/a,8,v_proj,50,0.5,0,0.9934675097465515
single_lora,fever,n/a,8,up_proj,50,0.5,0,0.995374858379364
single_lora,fever,n/a,8,down_proj,50,0.5,0,0.9999468922615051
single_lora,fever,n/a,15,q_proj,50,0.5,0,0.9999839067459106
single_lora,fever,n/a,15,v_proj,50,0.5,0,0.9999318718910217
single_lora,fever,n/a,15,up_proj,50,0.5,0,0.9999198913574219
single_lora,fever,n/a,15,down_proj,50,0.5,0,0.999918520450592
single_lora,mnli,n/a,0,q_proj,50,0.5,0,0.9999938011169434
single_lora,mnli,n/a,0,v_proj,50,0.5,0,0.9989322423934937
single_lora,mnli,n/a,0,up_proj,50,0.5,0,0.9999217391014099
single_lora,mnli,n/a,0,down_proj,50,0.5,0,0.9980105757713318
single_lora,mnli,n/a,8,q_proj,50,0.5,0,0.9999833106994629
single_lora,mnli,n/a,8,v_proj,50,0.5,0,0.9974844455718994
single_lora,mnli,n/a,8,up_proj,50,0.5,0,0.9997004866600037
single_lora,mnli,n/a,8,down_proj,50,0.5,0,0.9999780058860779
single_lora,mnli,n/a,15,q_proj,50,0.5,0,0.9999948143959045
single_lora,mnli,n/a,15,v_proj,50,0.5,0,0.9999791979789734
single_lora,mnli,n/a,15,up_proj,50,0.5,0,0.9999865889549255
single_lora,mnli,n/a,15,down_proj,50,0.5,0,0.9999680519104004
single_lora,qqp,n/a,0,q_proj,50,0.5,0,0.9999940991401672
single_lora,qqp,n/a,0,v_proj,50,0.5,0,0.9973706603050232
single_lora,qqp,n/a,0,up_proj,50,0.5,0,0.9999332427978516
single_lora,qqp,n/a,0,down_proj,50,0.5,0,0.9962323904037476
single_lora,qqp,n/a,8,q_proj,50,0.5,0,0.9999817609786987
single_lora,qqp,n/a,8,v_proj,50,0.5,0,0.9981651306152344
single_lora,qqp,n/a,8,up_proj,50,0.5,0,0.9997614026069641
single_lora,qqp,n/a,8,down_proj,50,0.5,0,0.9999763369560242
single_lora,qqp,n/a,15,q_proj,50,0.5,0,0.9999931454658508
single_lora,qqp,n/a,15,v_proj,50,0.5,0,0.9999416470527649
single_lora,qqp,n/a,15,up_proj,50,0.5,0,0.9999719858169556
single_lora,qqp,n/a,15,down_proj,50,0.5,0,0.9999656081199646
single_lora,siqa,n/a,0,q_proj,50,0.5,0,0.9999748468399048
single_lora,siqa,n/a,0,v_proj,50,0.5,0,0.9946913123130798
single_lora,siqa,n/a,0,up_proj,50,0.5,0,0.9998214244842529
single_lora,siqa,n/a,0,down_proj,50,0.5,0,0.9989597797393799
single_lora,siqa,n/a,8,q_proj,50,0.5,0,0.9999697804450989
single_lora,siqa,n/a,8,v_proj,50,0.5,0,0.9894396066665649
single_lora,siqa,n/a,8,up_proj,50,0.5,0,0.9916733503341675
single_lora,siqa,n/a,8,down_proj,50,0.5,0,0.9999426007270813
single_lora,siqa,n/a,15,q_proj,50,0.5,0,0.9999819397926331
single_lora,siqa,n/a,15,v_proj,50,0.5,0,0.9999595880508423
single_lora,siqa,n/a,15,up_proj,50,0.5,0,0.9999460577964783
single_lora,siqa,n/a,15,down_proj,50,0.5,0,0.9999563097953796
single_lora,sst2,n/a,0,q_proj,50,0.5,0,0.9999863505363464
single_lora,sst2,n/a,0,v_proj,50,0.5,0,0.9970247149467468
single_lora,sst2,n/a,0,up_proj,50,0.5,0,0.9998800158500671
single_lora,sst2,n/a,0,down_proj,50,0.5,0,0.9988904595375061
single_lora,sst2,n/a,8,q_proj,50,0.5,0,0.9999830722808838
single_lora,sst2,n/a,8,v_proj,50,0.5,0,0.997183620929718
single_lora,sst2,n/a,8,up_proj,50,0.5,0,0.9994407892227173
single_lora,sst2,n/a,8,down_proj,50,0.5,0,0.9999747276306152
single_lora,sst2,n/a,15,q_proj,50,0.5,0,0.9999887347221375
single_lora,sst2,n/a,15,v_proj,50,0.5,0,0.9999469518661499
single_lora,sst2,n/a,15,up_proj,50,0.5,0,0.9999331831932068
single_lora,sst2,n/a,15,down_proj,50,0.5,0,0.9999357461929321
single_lora,winogrande,n/a,0,q_proj,50,0.5,0,0.9999802112579346
single_lora,winogrande,n/a,0,v_proj,50,0.5,0,0.9943554401397705
single_lora,winogrande,n/a,0,up_proj,50,0.5,0,0.9998114109039307
single_lora,winogrande,n/a,0,down_proj,50,0.5,0,0.9990370273590088
single_lora,winogrande,n/a,8,q_proj,50,0.5,0,0.9999704957008362
single_lora,winogrande,n/a,8,v_proj,50,0.5,0,0.986927330493927
single_lora,winogrande,n/a,8,up_proj,50,0.5,0,0.9922372698783875
single_lora,winogrande,n/a,8,down_proj,50,0.5,0,0.9999316334724426
single_lora,winogrande,n/a,15,q_proj,50,0.5,0,0.9999801516532898
single_lora,winogrande,n/a,15,v_proj,50,0.5,0,0.9999391436576843
single_lora,winogrande,n/a,15,up_proj,50,0.5,0,0.9999402761459351
single_lora,winogrande,n/a,15,down_proj,50,0.5,0,0.9999321103096008
stacked_lora,fever,all,0,q_proj,50,0.5,0,0.9999751448631287
stacked_lora,fever,all,0,v_proj,50,0.5,0,0.9929112195968628
stacked_lora,fever,all,0,up_proj,50,0.5,0,0.9997074007987976
stacked_lora,fever,all,0,down_proj,50,0.5,0,0.9943118095397949
stacked_lora,fever,all,8,q_proj,50,0.5,0,0.9999448657035828
stacked_lora,fever,all,8,v_proj,50,0.5,0,0.9902631640434265
stacked_lora,fever,all,8,up_proj,50,0.5,0,0.9980204701423645
stacked_lora,fever,all,8,down_proj,50,0.5,0,0.9998296499252319
stacked_lora,fever,all,15,q_proj,50,0.5,0,0.9999819993972778
stacked_lora,fever,all,15,v_proj,50,0.5,0,0.9998611211776733
stacked_lora,fever,all,15,up_proj,50,0.5,0,0.9999380707740784
stacked_lora,fever,all,15,down_proj,50,0.5,0,0.999809980392456
stacked_lora,mnli,all,0,q_proj,50,0.5,0,0.9999940395355225
stacked_lora,mnli,all,0,v_proj,50,0.5,0,0.9989370107650757
stacked_lora,mnli,all,0,up_proj,50,0.5,0,0.9999241828918457
stacked_lora,mnli,all,0,down_proj,50,0.5,0,0.9980899095535278
stacked_lora,mnli,all,8,q_proj,50,0.5,0,0.9999831914901733
stacked_lora,mnli,all,8,v_proj,50,0.5,0,0.9973901510238647
stacked_lora,mnli,all,8,up_proj,50,0.5,0,0.9996917843818665
stacked_lora,mnli,all,8,down_proj,50,0.5,0,0.9999784827232361
stacked_lora,mnli,all,15,q_proj,50,0.5,0,0.9999947547912598
stacked_lora,mnli,all,15,v_proj,50,0.5,0,0.9999790191650391
stacked_lora,mnli,all,15,up_proj,50,0.5,0,0.9999864101409912
stacked_lora,mnli,all,15,down_proj,50,0.5,0,0.9999682903289795
stacked_lora,qqp,all,0,q_proj,50,0.5,0,0.9999890923500061
stacked_lora,qqp,all,0,v_proj,50,0.5,0,0.9978921413421631
stacked_lora,qqp,all,0,up_proj,50,0.5,0,0.9998498558998108
stacked_lora,qqp,all,0,down_proj,50,0.5,0,0.9937863945960999
stacked_lora,qqp,all,8,q_proj,50,0.5,0,0.9999757409095764
stacked_lora,qqp,all,8,v_proj,50,0.5,0,0.9972980618476868
stacked_lora,qqp,all,8,up_proj,50,0.5,0,0.999276340007782
stacked_lora,qqp,all,8,down_proj,50,0.5,0,0.9999582171440125
stacked_lora,qqp,all,15,q_proj,50,0.5,0,0.9999916553497314
stacked_lora,qqp,all,15,v_proj,50,0.5,0,0.999895453453064
stacked_lora,qqp,all,15,up_proj,50,0.5,0,0.9999812841415405
stacked_lora,qqp,all,15,down_proj,50,0.5,0,0.9999664425849915
stacked_lora,siqa,all,0,q_proj,50,0.5,0,0.9999833106994629
stacked_lora,siqa,all,0,v_proj,50,0.5,0,0.9950771927833557
stacked_lora,siqa,all,0,up_proj,50,0.5,0,0.9997913837432861
stacked_lora,siqa,all,0,down_proj,50,0.5,0,0.9908180236816406
stacked_lora,siqa,all,8,q_proj,50,0.5,0,0.9999597668647766
stacked_lora,siqa,all,8,v_proj,50,0.5,0,0.9942830801010132
stacked_lora,siqa,all,8,up_proj,50,0.5,0,0.9897449016571045
stacked_lora,siqa,all,8,down_proj,50,0.5,0,0.9999247789382935
stacked_lora,siqa,all,15,q_proj,50,0.5,0,0.9999830722808838
stacked_lora,siqa,all,15,v_proj,50,0.5,0,0.9998818039894104
stacked_lora,siqa,all,15,up_proj,50,0.5,0,0.9999651908874512
stacked_lora,siqa,all,15,down_proj,50,0.5,0,0.9999226331710815
stacked_lora,sst2,all,0,q_proj,50,0.5,0,0.9999889135360718
stacked_lora,sst2,all,0,v_proj,50,0.5,0,0.9970640540122986
stacked_lora,sst2,all,0,up_proj,50,0.5,0,0.9998490810394287
stacked_lora,sst2,all,0,down_proj,50,0.5,0,0.9955574870109558
stacked_lora,sst2,all,8,q_proj,50,0.5,0,0.9999691843986511
stacked_lora,sst2,all,8,v_proj,50,0.5,0,0.9970248341560364
stacked_lora,sst2,all,8,up_proj,50,0.5,0,0.9926171898841858
stacked_lora,sst2,all,8,down_proj,50,0.5,0,0.9999448657035828
stacked_lora,sst2,all,15,q_proj,50,0.5,0,0.999990701675415
stacked_lora,sst2,all,15,v_proj,50,0.5,0,0.9998871088027954
stacked_lora,sst2,all,15,up_proj,50,0.5,0,0.9999747276306152
stacked_lora,sst2,all,15,down_proj,50,0.5,0,0.9999465942382812
stacked_lora,winogrande,all,0,q_proj,50,0.5,0,0.9999814033508301
stacked_lora,winogrande,all,0,v_proj,50,0.5,0,0.9947469830513
stacked_lora,winogrande,all,0,up_proj,50,0.5,0,0.9997830986976624
stacked_lora,winogrande,all,0,down_proj,50,0.5,0,0.990709662437439
stacked_lora,winogrande,all,8,q_proj,50,0.5,0,0.9999520778656006
stacked_lora,winogrande,all,8,v_proj,50,0.5,0,0.992994487285614
stacked_lora,winogrande,all,8,up_proj,50,0.5,0,0.9966275691986084
stacked_lora,winogrande,all,8,down_proj,50,0.5,0,0.9999188184738159
stacked_lora,winogrande,all,15,q_proj,50,0.5,0,0.9999833106994629
stacked_lora,winogrande,all,15,v_proj,50,0.5,0,0.9998680353164673
