method,stage,adapter_eval_mode,layer,module,vector_index,max_similarity
full,fever,n/a,0,q_proj,1,0.9999990463256836
full,fever,n/a,0,q_proj,2,0.9999982118606567
full,fever,n/a,0,q_proj,3,0.9999989867210388
full,fever,n/a,0,q_proj,4,0.9999962449073792
full,fever,n/a,0,q_proj,5,0.999997079372406
full,fever,n/a,0,q_proj,6,0.9999966621398926
full,fever,n/a,0,q_proj,7,0.9999974966049194
full,fever,n/a,0,q_proj,8,0.9999979734420776
full,fever,n/a,0,q_proj,9,0.9999960660934448
full,fever,n/a,0,q_proj,10,0.9999958872795105
full,fever,n/a,0,q_proj,11,0.9999939799308777
full,fever,n/a,0,q_proj,12,0.999994158744812
full,fever,n/a,0,q_proj,13,0.9999942183494568
full,fever,n/a,0,q_proj,14,0.9999917149543762
full,fever,n/a,0,q_proj,15,0.9996486902236938
full,fever,n/a,0,q_proj,16,0.9996392726898193
full,fever,n/a,0,q_proj,17,0.9999701976776123
full,fever,n/a,0,q_proj,18,0.9999817609786987
full,fever,n/a,0,q_proj,19,0.9999780058860779
full,fever,n/a,0,q_proj,20,0.9999920129776001
full,fever,n/a,0,q_proj,21,0.9999781847000122
full,fever,n/a,0,q_proj,22,0.9999750852584839
full,fever,n/a,0,q_proj,23,0.9999869465827942
full,fever,n/a,0,q_proj,24,0.9999693036079407
full,fever,n/a,0,q_proj,25,0.9999717473983765
full,fever,n/a,0,q_proj,26,0.9999715685844421
full,fever,n/a,0,q_proj,27,0.9999064207077026
full,fever,n/a,0,q_proj,28,0.99989914894104
full,fever,n/a,0,q_proj,29,0.9999539256095886
full,fever,n/a,0,q_proj,30,0.9999738335609436
full,fever,n/a,0,q_proj,31,0.999943196773529
full,fever,n/a,0,q_proj,32,0.9999616146087646
full,fever,n/a,0,q_proj,33,0.9999763369560242
full,fever,n/a,0,q_proj,34,0.9999497532844543
full,fever,n/a,0,q_proj,35,0.9999165534973145
full,fever,n/a,0,q_proj,36,0.9999142289161682
full,fever,n/a,0,q_proj,37,0.9999449849128723
full,fever,n/a,0,q_proj,38,0.9998976588249207
full,fever,n/a,0,q_proj,39,0.9998512864112854
full,fever,n/a,0,q_proj,40,0.9999511241912842
full,fever,n/a,0,q_proj,41,0.9999394416809082
full,fever,n/a,0,q_proj,42,0.9996176958084106
full,fever,n/a,0,q_proj,43,0.9996343851089478
full,fever,n/a,0,q_proj,44,0.9999268651008606
full,fever,n/a,0,q_proj,45,0.9999551773071289
full,fever,n/a,0,q_proj,46,0.9998911023139954
full,fever,n/a,0,q_proj,47,0.9995492696762085
full,fever,n/a,0,q_proj,48,0.9995976090431213
full,fever,n/a,0,q_proj,49,0.9998476505279541
full,fever,n/a,0,q_proj,50,0.9998713135719299
full,fever,n/a,0,v_proj,1,0.9998630881309509
full,fever,n/a,0,v_proj,2,0.9981791973114014
full,fever,n/a,0,v_proj,3,0.9987376928329468
full,fever,n/a,0,v_proj,4,0.9989336729049683
full,fever,n/a,0,v_proj,5,0.9994123578071594
full,fever,n/a,0,v_proj,6,0.9987348318099976
full,fever,n/a,0,v_proj,7,0.9988527894020081
full,fever,n/a,0,v_proj,8,0.9959309101104736
full,fever,n/a,0,v_proj,9,0.9968210458755493
full,fever,n/a,0,v_proj,10,0.9967273473739624
full,fever,n/a,0,v_proj,11,0.9948522448539734
full,fever,n/a,0,v_proj,12,0.9944139122962952
full,fever,n/a,0,v_proj,13,0.9544510841369629
full,fever,n/a,0,v_proj,14,0.9540318846702576
full,fever,n/a,0,v_proj,15,0.9882627725601196
full,fever,n/a,0,v_proj,16,0.9890732765197754
full,fever,n/a,0,v_proj,17,0.9881975054740906
full,fever,n/a,0,v_proj,18,0.9732468724250793
full,fever,n/a,0,v_proj,19,0.9671207666397095
full,fever,n/a,0,v_proj,20,0.987751305103302
full,fever,n/a,0,v_proj,21,0.9873367547988892
full,fever,n/a,0,v_proj,22,0.9855518341064453
full,fever,n/a,0,v_proj,23,0.8919249773025513
full,fever,n/a,0,v_proj,24,0.8738158941268921
full,fever,n/a,0,v_proj,25,0.9517598152160645
full,fever,n/a,0,v_proj,26,0.9770644903182983
full,fever,n/a,0,v_proj,27,0.9586855173110962
full,fever,n/a,0,v_proj,28,0.9655816555023193
full,fever,n/a,0,v_proj,29,0.9646502733230591
full,fever,n/a,0,v_proj,30,0.9737855792045593
full,fever,n/a,0,v_proj,31,0.9026134014129639
full,fever,n/a,0,v_proj,32,0.7375874519348145
full,fever,n/a,0,v_proj,33,0.7528365254402161
full,fever,n/a,0,v_proj,34,0.9613970518112183
full,fever,n/a,0,v_proj,35,0.954777717590332
full,fever,n/a,0,v_proj,36,0.9645912647247314
full,fever,n/a,0,v_proj,37,0.9846162796020508
full,fever,n/a,0,v_proj,38,0.9750856161117554
full,fever,n/a,0,v_proj,39,0.9680047035217285
full,fever,n/a,0,v_proj,40,0.7996318340301514
full,fever,n/a,0,v_proj,41,0.8190500140190125
full,fever,n/a,0,v_proj,42,0.9181803464889526
full,fever,n/a,0,v_proj,43,0.8573681116104126
full,fever,n/a,0,v_proj,44,0.8724609613418579
full,fever,n/a,0,v_proj,45,0.940503716468811
full,fever,n/a,0,v_proj,46,0.9605189561843872
full,fever,n/a,0,v_proj,47,0.9796620607376099
full,fever,n/a,0,v_proj,48,0.9818644523620605
full,fever,n/a,0,v_proj,49,0.9690037965774536
full,fever,n/a,0,v_proj,50,0.9661530256271362
full,fever,n/a,0,up_proj,1,0.9998927712440491
full,fever,n/a,0,up_proj,2,0.9999030232429504
full,fever,n/a,0,up_proj,3,0.9999205470085144
full,fever,n/a,0,up_proj,4,0.9998577833175659
full,fever,n/a,0,up_proj,5,0.9998393058776855
full,fever,n/a,0,up_proj,6,0.9985674619674683
full,fever,n/a,0,up_proj,7,0.9984285831451416
full,fever,n/a,0,up_proj,8,0.9991813898086548
full,fever,n/a,0,up_proj,9,0.9993964433670044
full,fever,n/a,0,up_proj,10,0.9993375539779663
full,fever,n/a,0,up_proj,11,0.9985413551330566
full,fever,n/a,0,up_proj,12,0.998638927936554
full,fever,n/a,0,up_proj,13,0.9989252090454102
full,fever,n/a,0,up_proj,14,0.9976637959480286
full,fever,n/a,0,up_proj,15,0.9974623918533325
full,fever,n/a,0,up_proj,16,0.9990958571434021
full,fever,n/a,0,up_proj,17,0.9983949065208435
full,fever,n/a,0,up_proj,18,0.9979313611984253
full,fever,n/a,0,up_proj,19,0.9994795322418213
full,fever,n/a,0,up_proj,20,0.9991304278373718
full,fever,n/a,0,up_proj,21,0.9991421103477478
full,fever,n/a,0,up_proj,22,0.9996171593666077
full,fever,n/a,0,up_proj,23,0.9994732141494751
full,fever,n/a,0,up_proj,24,0.9994951486587524
full,fever,n/a,0,up_proj,25,0.9996320009231567
full,fever,n/a,0,up_proj,26,0.9979915618896484
full,fever,n/a,0,up_proj,27,0.9886623024940491
full,fever,n/a,0,up_proj,28,0.9907362461090088
full,fever,n/a,0,up_proj,29,0.9987687468528748
