method,stage,eval_task,accuracy,loss
single_lora,mnli,mnli,0.805,0.5016611288487911
single_lora,qqp,mnli,0.705,0.6656591349840164
single_lora,qqp,qqp,0.836,0.35737708511948585
single_lora,sst2,mnli,0.637,0.8266643154621124
single_lora,sst2,qqp,0.757,0.5095009694695473
single_lora,sst2,sst2,0.9426605504587156,0.1713151694873536
single_lora,siqa,mnli,0.683,0.7378886157274246
single_lora,siqa,qqp,0.774,0.5150353966355323
single_lora,siqa,sst2,0.9288990825688074,0.20169240806397015
single_lora,siqa,siqa,0.649,0.8262839977741241
single_lora,winogrande,mnli,0.657,0.7378878939151764
single_lora,winogrande,qqp,0.734,0.5320203452706337
single_lora,winogrande,sst2,0.9277522935779816,0.18019403587309046
single_lora,winogrande,siqa,0.626,0.8479511337280273
single_lora,winogrande,winogrande,0.514,0.6924655666351318
single_lora,fever,mnli,0.678,0.7414677573442459
single_lora,fever,qqp,0.82,0.419395969748497
single_lora,fever,sst2,0.9185779816513762,0.2116785466739344
single_lora,fever,siqa,0.631,0.8585482730865478
single_lora,fever,winogrande,0.517,0.6946910190582275
single_lora,fever,fever,0.669,0.7830101356506348
