method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.809,0.5002862527370453
stacked_lora,qqp,mnli,0.809,0.5002862527370453
stacked_lora,qqp,qqp,0.826,0.3821013736128807
stacked_lora,sst2,mnli,0.809,0.5002862527370453
stacked_lora,sst2,qqp,0.826,0.3821013736128807
stacked_lora,sst2,sst2,0.9426605504587156,0.16788509651728042
stacked_lora,siqa,mnli,0.809,0.5002862527370453
stacked_lora,siqa,qqp,0.826,0.3821013736128807
stacked_lora,siqa,sst2,0.9426605504587156,0.16788509651728042
stacked_lora,siqa,siqa,0.603,0.8681548540592193
stacked_lora,winogrande,mnli,0.809,0.5002862527370453
stacked_lora,winogrande,qqp,0.826,0.3821013736128807
stacked_lora,winogrande,sst2,0.9426605504587156,0.16788509651728042
stacked_lora,winogrande,siqa,0.603,0.8681548540592193
stacked_lora,winogrande,winogrande,0.525,0.6928850789070129
stacked_lora,fever,mnli,0.809,0.5002862527370453
stacked_lora,fever,qqp,0.826,0.3821013736128807
stacked_lora,fever,sst2,0.9426605504587156,0.16788509651728042
stacked_lora,fever,siqa,0.603,0.8681548540592193
stacked_lora,fever,winogrande,0.525,0.6928850789070129
stacked_lora,fever,fever,0.663,0.7698403463363648
