method,stage,eval_task,accuracy,loss
full,mnli,mnli,0.841,0.42621238255500793
full,qqp,mnli,0.758,0.6315201791524887
full,qqp,qqp,0.861,0.3675267572849989
full,sst2,mnli,0.669,0.805512127161026
full,sst2,qqp,0.836,0.38890572617948055
full,sst2,sst2,0.944954128440367,0.16404466708447066
full,siqa,mnli,0.637,0.8790344181060791
full,siqa,qqp,0.833,0.4045279746353626
full,siqa,sst2,0.9311926605504587,0.1953224388011005
full,siqa,siqa,0.714,0.754741674542427
full,winogrande,mnli,0.585,0.9141957294940949
full,winogrande,qqp,0.826,0.38712540185451505
full,winogrande,sst2,0.9128440366972477,0.24023436525956207
full,winogrande,siqa,0.7,0.7111342010498047
full,winogrande,winogrande,0.602,0.6527469429969788
full,fever,mnli,0.624,0.8544070570468902
full,fever,qqp,0.822,0.38240153205394745
full,fever,sst2,0.8979357798165137,0.26283957006050906
full,fever,siqa,0.688,0.7431699059009552
full,fever,winogrande,0.587,0.6589277908802033
full,fever,fever,0.707,0.826940916955471
