stage,layer,module,module_path,epsilon,lambda_scale,lambda_options,num_singular_vectors,num_intruders,intruder_fraction,mean_max_similarity,min_max_similarity,correction_frobenius_norm
mnli,0,q_proj,layers.0.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,65,0.03173828125,0.952133297920227,0.37965166568756104,0.16206717491149902
mnli,0,v_proj,layers.0.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,3,0.005859375,0.9536322355270386,0.6424570679664612,0.19295987486839294
mnli,0,up_proj,layers.0.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,15,0.00732421875,0.9412842988967896,0.6276392340660095,2.839567184448242
mnli,0,down_proj,layers.0.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,26,0.0126953125,0.9318897724151611,0.5912159085273743,4.001577377319336
mnli,1,q_proj,layers.1.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,71,0.03466796875,0.9435346722602844,0.49899959564208984,0.3646469712257385
mnli,1,v_proj,layers.1.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,4,0.0078125,0.9463974237442017,0.6692582964897156,0.4900771379470825
mnli,1,up_proj,layers.1.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,16,0.0078125,0.9387468099594116,0.6206835508346558,2.978628396987915
mnli,1,down_proj,layers.1.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,18,0.0087890625,0.9430049657821655,0.623681902885437,3.3048388957977295
mnli,2,q_proj,layers.2.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,52,0.025390625,0.9444863796234131,0.5292689800262451,0.4166269302368164
mnli,2,v_proj,layers.2.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,1,0.001953125,0.9692403674125671,0.6933795213699341,0.19821155071258545
mnli,2,up_proj,layers.2.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,23,0.01123046875,0.9368002414703369,0.6033884286880493,3.167794704437256
mnli,2,down_proj,layers.2.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,14,0.0068359375,0.9455959796905518,0.6103450655937195,2.4061901569366455
mnli,3,q_proj,layers.3.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,23,0.01123046875,0.9529588222503662,0.579470157623291,0.33938056230545044
mnli,3,v_proj,layers.3.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,2,0.00390625,0.9667401313781738,0.6508685946464539,0.47048935294151306
mnli,3,up_proj,layers.3.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,32,0.015625,0.9283347129821777,0.5959311723709106,3.4639103412628174
mnli,3,down_proj,layers.3.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,20,0.009765625,0.9352952241897583,0.6241161227226257,3.0443050861358643
mnli,4,q_proj,layers.4.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,77,0.03759765625,0.9330082535743713,0.5126387476921082,0.6150005459785461
mnli,4,v_proj,layers.4.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,2,0.00390625,0.9624762535095215,0.6250419616699219,0.40585651993751526
mnli,4,up_proj,layers.4.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,29,0.01416015625,0.9242860674858093,0.6518405079841614,3.658416271209717
mnli,4,down_proj,layers.4.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,31,0.01513671875,0.9345357418060303,0.5858591794967651,3.6957473754882812
mnli,5,q_proj,layers.5.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,174,0.0849609375,0.911608874797821,0.47511613368988037,0.5723434090614319
mnli,5,v_proj,layers.5.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,3,0.005859375,0.9492605328559875,0.600152313709259,0.4057413637638092
mnli,5,up_proj,layers.5.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,21,0.01025390625,0.9384067058563232,0.5984169244766235,3.220390796661377
mnli,5,down_proj,layers.5.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,24,0.01171875,0.9424731731414795,0.6208382248878479,3.0458688735961914
mnli,6,q_proj,layers.6.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,129,0.06298828125,0.9129250049591064,0.4556258022785187,0.5851566195487976
mnli,6,v_proj,layers.6.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9684414863586426,0.7177947163581848,0.0
mnli,6,up_proj,layers.6.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,13,0.00634765625,0.9422277212142944,0.591280460357666,2.220201015472412
mnli,6,down_proj,layers.6.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,14,0.0068359375,0.9503558278083801,0.5793019533157349,2.411895275115967
mnli,7,q_proj,layers.7.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,104,0.05078125,0.9229816794395447,0.47820809483528137,0.6228983998298645
mnli,7,v_proj,layers.7.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9802312850952148,0.7314254641532898,0.0
mnli,7,up_proj,layers.7.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,12,0.005859375,0.9556933045387268,0.6719076633453369,2.30694580078125
mnli,7,down_proj,layers.7.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,5,0.00244140625,0.9637270569801331,0.6249377131462097,1.397385597229004
mnli,8,q_proj,layers.8.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,60,0.029296875,0.9356602430343628,0.5525325536727905,0.3616252541542053
mnli,8,v_proj,layers.8.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9736271500587463,0.71779865026474,0.0
mnli,8,up_proj,layers.8.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,2,0.0009765625,0.9649078249931335,0.6749774813652039,1.0267647504806519
mnli,8,down_proj,layers.8.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,2,0.0009765625,0.9693595767021179,0.6931781768798828,0.7808345556259155
mnli,9,q_proj,layers.9.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,32,0.015625,0.9553453326225281,0.5396256446838379,0.378250390291214
mnli,9,v_proj,layers.9.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9735435843467712,0.7026283740997314,0.0
mnli,9,up_proj,layers.9.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,3,0.00146484375,0.9707044363021851,0.6630922555923462,1.3109169006347656
mnli,9,down_proj,layers.9.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,1,0.00048828125,0.9748021364212036,0.6963069438934326,0.5406067967414856
mnli,10,q_proj,layers.10.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,30,0.0146484375,0.9528830647468567,0.548751711845398,0.24563060700893402
mnli,10,v_proj,layers.10.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9856595396995544,0.7396414279937744,0.0
mnli,10,up_proj,layers.10.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,2,0.0009765625,0.9740827083587646,0.6850081086158752,1.0105211734771729
mnli,10,down_proj,layers.10.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,2,0.0009765625,0.9758027195930481,0.6654471158981323,1.1789216995239258
mnli,11,q_proj,layers.11.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,0,0.0,0.9770825505256653,0.707012414932251,0.0
mnli,11,v_proj,layers.11.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.993926465511322,0.9296720027923584,0.0
mnli,11,up_proj,layers.11.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,0,0.0,0.9810135364532471,0.7108486294746399,0.0
mnli,11,down_proj,layers.11.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,0,0.0,0.9807765483856201,0.7056732773780823,0.0
mnli,12,q_proj,layers.12.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,4,0.001953125,0.9811269044876099,0.5934526324272156,0.04746568202972412
mnli,12,v_proj,layers.12.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9958021640777588,0.8867586851119995,0.0
mnli,12,up_proj,layers.12.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,1,0.00048828125,0.983928382396698,0.6992895603179932,1.1366370916366577
mnli,12,down_proj,layers.12.mlp.down_proj,0.7,0.5,"[0.0, 0.5]",2048,1,0.00048828125,0.9830979108810425,0.6954361200332642,0.9196513891220093
mnli,13,q_proj,layers.13.self_attn.q_proj,0.7,0.5,"[0.0, 0.5]",2048,4,0.001953125,0.9798299074172974,0.6383349299430847,0.0988214761018753
mnli,13,v_proj,layers.13.self_attn.v_proj,0.7,0.5,"[0.0, 0.5]",512,0,0.0,0.9967136383056641,0.9475969076156616,0.0
mnli,13,up_proj,layers.13.mlp.up_proj,0.7,0.5,"[0.0, 0.5]",2048,0,0.0,0.9857953786849976,0.7002661228179932,0.0
