method,stage,eval_task,accuracy,loss
full_intruder_scaled,mnli,mnli,0.84,0.434846179202199
full_intruder_scaled,qqp,mnli,0.754,0.649305393576622
full_intruder_scaled,qqp,qqp,0.862,0.3600329183936119
full_intruder_scaled,sst2,mnli,0.662,0.813535920381546
full_intruder_scaled,sst2,qqp,0.831,0.4020207041800022
full_intruder_scaled,sst2,sst2,0.9403669724770642,0.17459244118926517
full_intruder_scaled,siqa,mnli,0.631,0.8892172925472259
full_intruder_scaled,siqa,qqp,0.786,0.45854219448566436
full_intruder_scaled,siqa,sst2,0.9185779816513762,0.21642563787690544
full_intruder_scaled,siqa,siqa,0.69,0.7678849409818649
full_intruder_scaled,winogrande,mnli,0.524,0.9682896704673767
full_intruder_scaled,winogrande,qqp,0.796,0.43519627022743224
full_intruder_scaled,winogrande,sst2,0.8956422018348624,0.2752033478896552
full_intruder_scaled,winogrande,siqa,0.637,0.7835177063941956
full_intruder_scaled,winogrande,winogrande,0.582,0.6686907777786255
full_intruder_scaled,fever,mnli,0.514,0.998830689907074
full_intruder_scaled,fever,qqp,0.771,0.4752004126906395
full_intruder_scaled,fever,sst2,0.7947247706422018,0.44284821267521707
full_intruder_scaled,fever,siqa,0.59,0.8998264195919037
full_intruder_scaled,fever,winogrande,0.556,0.6862019591331482
full_intruder_scaled,fever,fever,0.641,0.8598116040229797
