method,stage,eval_task,accuracy,loss
full_intruder_scaled,mnli,mnli,0.842,0.42382604292035103
full_intruder_scaled,qqp,mnli,0.759,0.6281894165277481
full_intruder_scaled,qqp,qqp,0.859,0.36680124700814487
full_intruder_scaled,sst2,mnli,0.671,0.8040519456863403
full_intruder_scaled,sst2,qqp,0.839,0.38710954402387143
full_intruder_scaled,sst2,sst2,0.9438073394495413,0.16436452600344537
full_intruder_scaled,siqa,mnli,0.641,0.8733351585865021
full_intruder_scaled,siqa,qqp,0.832,0.396499300211668
full_intruder_scaled,siqa,sst2,0.9288990825688074,0.19800801353887953
full_intruder_scaled,siqa,siqa,0.71,0.7565545163154602
full_intruder_scaled,winogrande,mnli,0.581,0.9126828670501709
full_intruder_scaled,winogrande,qqp,0.827,0.38521548855304716
full_intruder_scaled,winogrande,sst2,0.9105504587155964,0.24290267350750233
full_intruder_scaled,winogrande,siqa,0.695,0.7137638510465621
full_intruder_scaled,winogrande,winogrande,0.602,0.653619478225708
full_intruder_scaled,fever,mnli,0.614,0.8580942509174347
full_intruder_scaled,fever,qqp,0.825,0.38521714383363725
full_intruder_scaled,fever,sst2,0.8922018348623854,0.2674632386193363
full_intruder_scaled,fever,siqa,0.686,0.7453269003629684
full_intruder_scaled,fever,winogrande,0.581,0.6595157876014709
full_intruder_scaled,fever,fever,0.704,0.8215301271677017
