method,stage,eval_task,accuracy,loss
full_intruder_scaled,mnli,mnli,0.839,0.4214947578907013
full_intruder_scaled,qqp,mnli,0.758,0.6264687563180924
full_intruder_scaled,qqp,qqp,0.861,0.3656528663635254
full_intruder_scaled,sst2,mnli,0.668,0.8062295460700989
full_intruder_scaled,sst2,qqp,0.838,0.38695903216302396
full_intruder_scaled,sst2,sst2,0.9392201834862385,0.16437610932155897
full_intruder_scaled,siqa,mnli,0.641,0.8697666926383972
full_intruder_scaled,siqa,qqp,0.835,0.38960003179311753
full_intruder_scaled,siqa,sst2,0.9277522935779816,0.2029670430432766
full_intruder_scaled,siqa,siqa,0.705,0.7621184212565422
full_intruder_scaled,winogrande,mnli,0.583,0.9122973926067353
full_intruder_scaled,winogrande,qqp,0.824,0.3842928706407547
full_intruder_scaled,winogrande,sst2,0.9071100917431193,0.24816296157350234
full_intruder_scaled,winogrande,siqa,0.69,0.7188882722854614
full_intruder_scaled,winogrande,winogrande,0.607,0.6548778495788574
full_intruder_scaled,fever,mnli,0.606,0.8664324650764466
full_intruder_scaled,fever,qqp,0.822,0.3911173369884491
full_intruder_scaled,fever,sst2,0.8887614678899083,0.27551833567542766
full_intruder_scaled,fever,siqa,0.68,0.7536071139574051
full_intruder_scaled,fever,winogrande,0.583,0.6612833664417267
full_intruder_scaled,fever,fever,0.697,0.8152321504354477
