method,stage,adapter_eval_mode,layer,module,pretrained_top_k,top_k,epsilon,num_intruders,mean_max_similarity
full,fever,n/a,0,q_proj,50,50,0.8,0,0.9999479651451111
full,fever,n/a,0,v_proj,50,50,0.8,4,0.9490817785263062
full,fever,n/a,0,up_proj,50,50,0.8,0,0.9987159967422485
full,fever,n/a,0,down_proj,50,50,0.8,1,0.9850821495056152
full,fever,n/a,8,q_proj,50,50,0.8,0,0.999876081943512
full,fever,n/a,8,v_proj,50,50,0.8,2,0.965116560459137
full,fever,n/a,8,up_proj,50,50,0.8,0,0.9968722462654114
full,fever,n/a,8,down_proj,50,50,0.8,0,0.9994737505912781
full,fever,n/a,15,q_proj,50,50,0.8,0,0.9999675154685974
full,fever,n/a,15,v_proj,50,50,0.8,0,0.9995637536048889
full,fever,n/a,15,up_proj,50,50,0.8,0,0.999836266040802
full,fever,n/a,15,down_proj,50,50,0.8,0,0.9968398213386536
full,mnli,n/a,0,q_proj,50,50,0.8,0,0.9999831914901733
full,mnli,n/a,0,v_proj,50,50,0.8,0,0.9955917596817017
full,mnli,n/a,0,up_proj,50,50,0.8,0,0.9998087882995605
full,mnli,n/a,0,down_proj,50,50,0.8,0,0.9989602565765381
full,mnli,n/a,8,q_proj,50,50,0.8,0,0.9999803900718689
full,mnli,n/a,8,v_proj,50,50,0.8,2,0.9841806888580322
full,mnli,n/a,8,up_proj,50,50,0.8,0,0.9973294734954834
full,mnli,n/a,8,down_proj,50,50,0.8,0,0.9999178051948547
full,mnli,n/a,15,q_proj,50,50,0.8,0,0.9999973773956299
full,mnli,n/a,15,v_proj,50,50,0.8,0,0.9999749660491943
full,mnli,n/a,15,up_proj,50,50,0.8,0,0.999985933303833
full,mnli,n/a,15,down_proj,50,50,0.8,0,0.9995858669281006
full,qqp,n/a,0,q_proj,50,50,0.8,0,0.9999797344207764
full,qqp,n/a,0,v_proj,50,50,0.8,0,0.9881414175033569
full,qqp,n/a,0,up_proj,50,50,0.8,0,0.9996169805526733
full,qqp,n/a,0,down_proj,50,50,0.8,0,0.9982540607452393
full,qqp,n/a,8,q_proj,50,50,0.8,0,0.9999552965164185
full,qqp,n/a,8,v_proj,50,50,0.8,2,0.9811941385269165
full,qqp,n/a,8,up_proj,50,50,0.8,0,0.9976820349693298
full,qqp,n/a,8,down_proj,50,50,0.8,0,0.9997967481613159
full,qqp,n/a,15,q_proj,50,50,0.8,0,0.9999878406524658
full,qqp,n/a,15,v_proj,50,50,0.8,0,0.9998834729194641
full,qqp,n/a,15,up_proj,50,50,0.8,0,0.9999785423278809
full,qqp,n/a,15,down_proj,50,50,0.8,0,0.9994670748710632
full,siqa,n/a,0,q_proj,50,50,0.8,0,0.9999692440032959
full,siqa,n/a,0,v_proj,50,50,0.8,0,0.9667134881019592
full,siqa,n/a,0,up_proj,50,50,0.8,0,0.998931884765625
full,siqa,n/a,0,down_proj,50,50,0.8,0,0.9938967823982239
full,siqa,n/a,8,q_proj,50,50,0.8,0,0.9998961687088013
full,siqa,n/a,8,v_proj,50,50,0.8,2,0.9732655882835388
full,siqa,n/a,8,up_proj,50,50,0.8,0,0.9878873229026794
full,siqa,n/a,8,down_proj,50,50,0.8,0,0.9996220469474792
full,siqa,n/a,15,q_proj,50,50,0.8,0,0.9999797940254211
full,siqa,n/a,15,v_proj,50,50,0.8,0,0.99981290102005
full,siqa,n/a,15,up_proj,50,50,0.8,0,0.9999593496322632
full,siqa,n/a,15,down_proj,50,50,0.8,0,0.9978320598602295
full,sst2,n/a,0,q_proj,50,50,0.8,0,0.9999778866767883
full,sst2,n/a,0,v_proj,50,50,0.8,0,0.9804648756980896
full,sst2,n/a,0,up_proj,50,50,0.8,0,0.9994065165519714
full,sst2,n/a,0,down_proj,50,50,0.8,0,0.9979168772697449
full,sst2,n/a,8,q_proj,50,50,0.8,0,0.9999599456787109
full,sst2,n/a,8,v_proj,50,50,0.8,2,0.9799728989601135
