method,stage,adapter_eval_mode,layer,module,vector_index,max_similarity
full,fever,n/a,0,q_proj,1,1.0000003576278687
full,fever,n/a,0,q_proj,2,0.9999980926513672
full,fever,n/a,0,q_proj,3,0.9999991059303284
full,fever,n/a,0,q_proj,4,0.9999964833259583
full,fever,n/a,0,q_proj,5,0.9999971985816956
full,fever,n/a,0,q_proj,6,0.9999971389770508
full,fever,n/a,0,q_proj,7,0.9999973773956299
full,fever,n/a,0,q_proj,8,0.9999971985816956
full,fever,n/a,0,q_proj,9,0.999995768070221
full,fever,n/a,0,q_proj,10,0.9999956488609314
full,fever,n/a,0,q_proj,11,0.9999942183494568
full,fever,n/a,0,q_proj,12,0.9999948740005493
full,fever,n/a,0,q_proj,13,0.9999937415122986
full,fever,n/a,0,q_proj,14,0.9999933838844299
full,fever,n/a,0,q_proj,15,0.999893069267273
full,fever,n/a,0,q_proj,16,0.9998906850814819
full,fever,n/a,0,q_proj,17,0.9999884366989136
full,fever,n/a,0,q_proj,18,0.9999909996986389
full,fever,n/a,0,q_proj,19,0.9999917149543762
full,fever,n/a,0,q_proj,20,0.999992847442627
full,fever,n/a,0,q_proj,21,0.9999762177467346
full,fever,n/a,0,q_proj,22,0.9999757409095764
full,fever,n/a,0,q_proj,23,0.9999628067016602
full,fever,n/a,0,q_proj,24,0.9999673366546631
full,fever,n/a,0,q_proj,25,0.9999766945838928
full,fever,n/a,0,q_proj,26,0.9999736547470093
full,fever,n/a,0,q_proj,27,0.9996584057807922
full,fever,n/a,0,q_proj,28,0.9996660351753235
full,fever,n/a,0,q_proj,29,0.9999649524688721
full,fever,n/a,0,q_proj,30,0.9999802708625793
full,fever,n/a,0,q_proj,31,0.9999546408653259
full,fever,n/a,0,q_proj,32,0.9999626278877258
full,fever,n/a,0,q_proj,33,0.9999526143074036
full,fever,n/a,0,q_proj,34,0.9999775290489197
full,fever,n/a,0,q_proj,35,0.9999750256538391
full,fever,n/a,0,q_proj,36,0.9999152421951294
full,fever,n/a,0,q_proj,37,0.9999380111694336
full,fever,n/a,0,q_proj,38,0.9999676942825317
full,fever,n/a,0,q_proj,39,0.9998754262924194
full,fever,n/a,0,q_proj,40,0.9999743103981018
full,fever,n/a,0,q_proj,41,0.999946653842926
full,fever,n/a,0,q_proj,42,0.9999181032180786
full,fever,n/a,0,q_proj,43,0.9999200105667114
full,fever,n/a,0,q_proj,44,0.9999597668647766
full,fever,n/a,0,q_proj,45,0.9999509453773499
full,fever,n/a,0,q_proj,46,0.9999512434005737
full,fever,n/a,0,q_proj,47,0.9998946785926819
full,fever,n/a,0,q_proj,48,0.9999049305915833
full,fever,n/a,0,q_proj,49,0.9999194145202637
full,fever,n/a,0,q_proj,50,0.9997398853302002
full,fever,n/a,0,v_proj,1,0.9998733401298523
full,fever,n/a,0,v_proj,2,0.9986932277679443
full,fever,n/a,0,v_proj,3,0.9988644123077393
full,fever,n/a,0,v_proj,4,0.9989916682243347
full,fever,n/a,0,v_proj,5,0.9994887113571167
full,fever,n/a,0,v_proj,6,0.9976727962493896
full,fever,n/a,0,v_proj,7,0.9975665807723999
full,fever,n/a,0,v_proj,8,0.99842768907547
full,fever,n/a,0,v_proj,9,0.9990988373756409
full,fever,n/a,0,v_proj,10,0.9979910254478455
full,fever,n/a,0,v_proj,11,0.9939984083175659
full,fever,n/a,0,v_proj,12,0.9914469718933105
full,fever,n/a,0,v_proj,13,0.9887697100639343
full,fever,n/a,0,v_proj,14,0.9911119341850281
full,fever,n/a,0,v_proj,15,0.9948070645332336
full,fever,n/a,0,v_proj,16,0.9916229248046875
full,fever,n/a,0,v_proj,17,0.9897429943084717
full,fever,n/a,0,v_proj,18,0.9709326028823853
full,fever,n/a,0,v_proj,19,0.9730232954025269
full,fever,n/a,0,v_proj,20,0.9935905933380127
full,fever,n/a,0,v_proj,21,0.9565407037734985
full,fever,n/a,0,v_proj,22,0.9450024962425232
full,fever,n/a,0,v_proj,23,0.9715814590454102
full,fever,n/a,0,v_proj,24,0.9443364143371582
full,fever,n/a,0,v_proj,25,0.9469528198242188
full,fever,n/a,0,v_proj,26,0.9839915037155151
full,fever,n/a,0,v_proj,27,0.9728057384490967
full,fever,n/a,0,v_proj,28,0.9501420855522156
full,fever,n/a,0,v_proj,29,0.9487616419792175
full,fever,n/a,0,v_proj,30,0.9594489336013794
full,fever,n/a,0,v_proj,31,0.9626856446266174
full,fever,n/a,0,v_proj,32,0.971606433391571
full,fever,n/a,0,v_proj,33,0.9668585062026978
full,fever,n/a,0,v_proj,34,0.8861985206604004
full,fever,n/a,0,v_proj,35,0.9315636157989502
full,fever,n/a,0,v_proj,36,0.9263020157814026
full,fever,n/a,0,v_proj,37,0.9528020620346069
full,fever,n/a,0,v_proj,38,0.8754982948303223
full,fever,n/a,0,v_proj,39,0.8765577673912048
full,fever,n/a,0,v_proj,40,0.8610371947288513
full,fever,n/a,0,v_proj,41,0.91179358959198
full,fever,n/a,0,v_proj,42,0.9239275455474854
full,fever,n/a,0,v_proj,43,0.9577486515045166
full,fever,n/a,0,v_proj,44,0.7471593618392944
full,fever,n/a,0,v_proj,45,0.7654499411582947
full,fever,n/a,0,v_proj,46,0.7964099645614624
full,fever,n/a,0,v_proj,47,0.7834895253181458
full,fever,n/a,0,v_proj,48,0.979234516620636
full,fever,n/a,0,v_proj,49,0.9797539710998535
full,fever,n/a,0,v_proj,50,0.9527348875999451
full,fever,n/a,0,up_proj,1,0.9999059438705444
full,fever,n/a,0,up_proj,2,0.9999100565910339
full,fever,n/a,0,up_proj,3,0.9999225735664368
full,fever,n/a,0,up_proj,4,0.9998663067817688
full,fever,n/a,0,up_proj,5,0.9998511672019958
full,fever,n/a,0,up_proj,6,0.999325692653656
full,fever,n/a,0,up_proj,7,0.9992493391036987
full,fever,n/a,0,up_proj,8,0.9996274709701538
full,fever,n/a,0,up_proj,9,0.9995589852333069
full,fever,n/a,0,up_proj,10,0.9994956851005554
full,fever,n/a,0,up_proj,11,0.9992740154266357
full,fever,n/a,0,up_proj,12,0.9995756149291992
full,fever,n/a,0,up_proj,13,0.9995328187942505
full,fever,n/a,0,up_proj,14,0.9993371963500977
full,fever,n/a,0,up_proj,15,0.999260425567627
full,fever,n/a,0,up_proj,16,0.9991044998168945
full,fever,n/a,0,up_proj,17,0.9938008189201355
full,fever,n/a,0,up_proj,18,0.9934083223342896
full,fever,n/a,0,up_proj,19,0.9993005394935608
full,fever,n/a,0,up_proj,20,0.999305784702301
full,fever,n/a,0,up_proj,21,0.9993773102760315
