method,stage,eval_task,accuracy,loss
single_lora,mnli,mnli,0.84,0.4600889140367508
single_lora,qqp,mnli,0.701,0.8278365238904953
single_lora,qqp,qqp,0.856,0.41025901583582164
single_lora,sst2,mnli,0.662,0.8762530030012131
single_lora,sst2,qqp,0.804,0.5360685065686702
single_lora,sst2,sst2,0.9426605504587156,0.17682864916950908
single_lora,siqa,mnli,0.656,0.7950015099048614
single_lora,siqa,qqp,0.82,0.45412224474549295
single_lora,siqa,sst2,0.9334862385321101,0.1916161024058665
single_lora,siqa,siqa,0.726,0.7585820038318634
single_lora,winogrande,mnli,0.679,0.7745966192483902
single_lora,winogrande,qqp,0.828,0.39046227088570595
single_lora,winogrande,sst2,0.9174311926605505,0.20560725958197626
single_lora,winogrande,siqa,0.693,0.834931391954422
single_lora,winogrande,winogrande,0.625,0.6549523015022278
single_lora,fever,mnli,0.691,0.7634494898319244
single_lora,fever,qqp,0.827,0.3950953129529953
single_lora,fever,sst2,0.9013761467889908,0.2237017766290575
single_lora,fever,siqa,0.674,0.8943970087170601
single_lora,fever,winogrande,0.606,0.6688770782947541
single_lora,fever,fever,0.698,0.8423453701138497
