method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.844,0.45766220943629743
stacked_lora,qqp,mnli,0.784,0.6368539287745952
stacked_lora,qqp,qqp,0.861,0.4367905748151243
stacked_lora,sst2,mnli,0.75,0.6606367876827717
stacked_lora,sst2,qqp,0.849,0.4547058873474598
stacked_lora,sst2,sst2,0.9438073394495413,0.19094731871929413
stacked_lora,siqa,mnli,0.749,0.6364967752695083
stacked_lora,siqa,qqp,0.84,0.4721584818661213
stacked_lora,siqa,sst2,0.9346330275229358,0.18231288146295951
stacked_lora,siqa,siqa,0.724,0.7769183169901371
stacked_lora,winogrande,mnli,0.755,0.6175968035459518
stacked_lora,winogrande,qqp,0.851,0.4188405923843384
stacked_lora,winogrande,sst2,0.9243119266055045,0.1945583265864316
stacked_lora,winogrande,siqa,0.716,0.8087707156836986
stacked_lora,winogrande,winogrande,0.599,0.6691006200313568
stacked_lora,fever,mnli,0.764,0.6534478230476379
stacked_lora,fever,qqp,0.842,0.41794230979681013
stacked_lora,fever,sst2,0.9197247706422018,0.23466417904293865
stacked_lora,fever,siqa,0.693,0.8987108708024025
stacked_lora,fever,winogrande,0.55,0.7141264414787293
stacked_lora,fever,fever,0.693,0.8843317422270774
