method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.844,0.45766220943629743
stacked_lora,qqp,mnli,0.844,0.45766220943629743
stacked_lora,qqp,qqp,0.861,0.4367905748151243
stacked_lora,sst2,mnli,0.844,0.45766220943629743
stacked_lora,sst2,qqp,0.861,0.4367905748151243
stacked_lora,sst2,sst2,0.9438073394495413,0.19094731871929413
stacked_lora,siqa,mnli,0.844,0.45766220943629743
stacked_lora,siqa,qqp,0.861,0.4367905748151243
stacked_lora,siqa,sst2,0.9438073394495413,0.19094731871929413
stacked_lora,siqa,siqa,0.724,0.7769183169901371
stacked_lora,winogrande,mnli,0.844,0.45766220943629743
stacked_lora,winogrande,qqp,0.861,0.4367905748151243
stacked_lora,winogrande,sst2,0.9438073394495413,0.19094731871929413
stacked_lora,winogrande,siqa,0.724,0.7769183169901371
stacked_lora,winogrande,winogrande,0.599,0.6691006200313568
stacked_lora,fever,mnli,0.844,0.45766220943629743
stacked_lora,fever,qqp,0.861,0.4367905748151243
stacked_lora,fever,sst2,0.9438073394495413,0.19094731871929413
stacked_lora,fever,siqa,0.724,0.7769183169901371
stacked_lora,fever,winogrande,0.599,0.6691006200313568
stacked_lora,fever,fever,0.693,0.8843317422270774
