method,stage,eval_task,accuracy,loss
full,mnli,mnli,0.804,0.7333861375302076
full,qqp,mnli,0.8,0.6357557701021432
full,qqp,qqp,0.816,0.6505114895123988
full,sst2,mnli,0.75,0.6648076252937317
full,sst2,qqp,0.808,0.5296232541799545
full,sst2,sst2,0.912,0.2523695888412185
full,siqa,mnli,0.762,0.6469439244866371
full,siqa,qqp,0.802,0.49022748273611066
full,siqa,sst2,0.916,0.23068229820113628
full,siqa,siqa,0.644,1.5527180665433407
full,winogrande,mnli,0.742,0.647807499408722
full,winogrande,qqp,0.802,0.47171747028827665
full,winogrande,sst2,0.904,0.2765436974689364
full,winogrande,siqa,0.566,1.1603203930854797
full,winogrande,winogrande,0.526,1.304376208782196
full,fever,mnli,0.736,0.6600649020671845
full,fever,qqp,0.792,0.5018737407922744
full,fever,sst2,0.9,0.311456643525511
full,fever,siqa,0.516,1.20406161403656
full,fever,winogrande,0.534,1.419867790222168
full,fever,fever,0.644,1.21992029941082
