method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.766,0.6738719581365585
stacked_lora,qqp,mnli,0.734,0.7453735736608506
stacked_lora,qqp,qqp,0.792,0.5270139294862747
stacked_lora,sst2,mnli,0.682,0.7594070116281509
stacked_lora,sst2,qqp,0.738,0.5843040586709977
stacked_lora,sst2,sst2,0.918,0.24376775016821922
stacked_lora,siqa,mnli,0.684,0.8007219868898392
stacked_lora,siqa,qqp,0.738,0.5825727853775025
stacked_lora,siqa,sst2,0.91,0.2753433642508462
stacked_lora,siqa,siqa,0.596,1.0489935801029204
stacked_lora,winogrande,mnli,0.688,0.8026537342071534
stacked_lora,winogrande,qqp,0.756,0.576856257557869
stacked_lora,winogrande,sst2,0.916,0.2688581314701587
stacked_lora,winogrande,siqa,0.598,1.0467402794361114
stacked_lora,winogrande,winogrande,0.488,0.7244949102401733
stacked_lora,fever,mnli,0.676,0.8101354343891144
stacked_lora,fever,qqp,0.738,0.5498866198062897
stacked_lora,fever,sst2,0.906,0.27299271780997514
stacked_lora,fever,siqa,0.6,1.0685557532310486
stacked_lora,fever,winogrande,0.538,0.8068164305686951
stacked_lora,fever,fever,0.62,1.1385122532844543
