method,stage,eval_task,accuracy,loss
full,mnli,mnli,0.806,0.6648725752830505
full,qqp,mnli,0.794,0.6470182011723519
full,qqp,qqp,0.81,0.6317387139350176
full,sst2,mnli,0.77,0.7085010321736336
full,sst2,qqp,0.81,0.6588208149075508
full,sst2,sst2,0.908,0.3251219147304073
full,siqa,mnli,0.768,0.6936030220389366
full,siqa,qqp,0.808,0.5814605906605721
full,siqa,sst2,0.924,0.3215840135859325
full,siqa,siqa,0.566,1.5011185462474823
full,winogrande,mnli,0.762,0.7204153875112533
full,winogrande,qqp,0.83,0.5537993252947927
full,winogrande,sst2,0.902,0.354487052410841
full,winogrande,siqa,0.516,1.4429557039737702
full,winogrande,winogrande,0.532,1.0464296941757203
full,fever,mnli,0.77,0.7631548935174942
full,fever,qqp,0.824,0.5118033784031868
full,fever,sst2,0.876,0.4407398469001055
full,fever,siqa,0.508,1.4033505823612213
full,fever,winogrande,0.5,1.0576909704208375
full,fever,fever,0.604,1.477103611946106
