method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.758,0.7158594137430191
stacked_lora,qqp,mnli,0.702,0.875458743929863
stacked_lora,qqp,qqp,0.804,0.5319724152088166
stacked_lora,sst2,mnli,0.602,0.931905399799347
stacked_lora,sst2,qqp,0.768,0.5519686460494995
stacked_lora,sst2,sst2,0.918,0.26335180549742654
stacked_lora,siqa,mnli,0.61,0.9454607663154602
stacked_lora,siqa,qqp,0.752,0.5609517855644226
stacked_lora,siqa,sst2,0.922,0.2741838561021723
stacked_lora,siqa,siqa,0.59,0.9967929103374481
stacked_lora,winogrande,mnli,0.618,0.9480239868164062
stacked_lora,winogrande,qqp,0.76,0.5621064541339874
stacked_lora,winogrande,sst2,0.926,0.26705191647913307
stacked_lora,winogrande,siqa,0.582,0.9771188597679138
stacked_lora,winogrande,winogrande,0.486,0.7175920567512513
stacked_lora,fever,mnli,0.618,0.9184484393596649
stacked_lora,fever,qqp,0.736,0.5875886706113815
stacked_lora,fever,sst2,0.928,0.25708191090263427
stacked_lora,fever,siqa,0.596,1.0300965247154237
stacked_lora,fever,winogrande,0.5,0.7457572946548462
stacked_lora,fever,fever,0.588,1.135597179889679
