method,stage,eval_task,accuracy,loss
stacked_lora,mnli,mnli,0.44,1.0531979961395264
stacked_lora,qqp,mnli,0.44,1.0531979961395264
stacked_lora,qqp,qqp,0.616,0.6321263031959534
stacked_lora,sst2,mnli,0.44,1.0531979961395264
stacked_lora,sst2,qqp,0.616,0.6321263031959534
stacked_lora,sst2,sst2,0.92,0.2642833672761917
stacked_lora,siqa,mnli,0.44,1.0531979961395264
stacked_lora,siqa,qqp,0.616,0.6321263031959534
stacked_lora,siqa,sst2,0.92,0.2642833672761917
stacked_lora,siqa,siqa,0.334,1.130169638633728
stacked_lora,winogrande,mnli,0.44,1.0531979961395264
stacked_lora,winogrande,qqp,0.616,0.6321263031959534
stacked_lora,winogrande,sst2,0.92,0.2642833672761917
stacked_lora,winogrande,siqa,0.334,1.130169638633728
stacked_lora,winogrande,winogrande,0.474,0.7106596279144287
stacked_lora,fever,mnli,0.44,1.0531979961395264
stacked_lora,fever,qqp,0.616,0.6321263031959534
stacked_lora,fever,sst2,0.92,0.2642833672761917
stacked_lora,fever,siqa,0.334,1.130169638633728
stacked_lora,fever,winogrande,0.474,0.7106596279144287
stacked_lora,fever,fever,0.394,1.2032427473068237
